dropped_feature,retained_feature,absolute_correlation,dropped_priority_rank,retained_priority_rank
token_lA_count,token_lT_count,0.92602813506419,2.0,1.0
token_lA_fraction,token_lT_count,0.9203617980948634,3.0,1.0
token_lT_fraction,token_lT_count,0.9966598513051657,3.0,1.0
longest_lT_run,token_lT_count,0.9672964605899931,5.0,1.0
token_lC_fraction,token_lC_count,0.9993832465092862,9.0,8.0
token_lG_fraction,longest_lA_run,0.9674464066161594,10.0,6.0
token_lG_count,longest_lA_run,0.9498483699772533,11.0,6.0
longest_lG_run,longest_lA_run,0.9126056235029147,12.0,6.0
lna_count_middle,token_lT_count,0.9716534296226027,13.0,1.0
lna_position_std,token_lT_count,0.9230717990731976,14.0,1.0
lna_density_middle,token_lT_count,0.9710330143288526,15.0,1.0
lna_span_fraction,token_lT_count,0.9092739475343224,16.0,1.0
longest_lna_run,token_lT_count,0.9583534376847446,17.0,1.0
lna_last_position,lna_last_fraction,0.9823344369260535,19.0,18.0
lna_first_position,lna_last_fraction,0.9566634330409459,20.0,18.0
lna_mean_position,lna_last_fraction,0.9687023181219115,20.0,18.0
lna_mean_fraction,lna_last_fraction,0.9991614676034438,22.0,18.0
lna_first_fraction,lna_last_fraction,0.998307510185128,23.0,18.0
longest_rA_run,longest_homopolymer_run,0.932662694878082,29.0,28.0
modified_token_density_3p,mod_density_3p,1.0,34.0,34.0
methyl_count_3p,mod_density_3p,0.9891508518036608,36.0,34.0
modified_token_count_3p,mod_density_3p,0.9907114951545882,37.0,34.0
rna_density_3p,mod_density_3p,0.9894154177433654,39.0,34.0
longest_methyl_run,mod_density_3p,0.9509658385144836,40.0,34.0
methyl_density_3p,mod_density_3p,0.991230867064319,41.0,34.0
star_mean_fraction,methyl_mean_fraction,0.9827662966903856,42.0,30.0
longest_modified_token_run,mod_density_3p,0.9710106213870913,43.0,34.0
rna_last_position,rna_mean_position,0.967830295884916,45.0,31.0
rna_position_std,rna_mean_position,0.9433218867294874,47.0,31.0
slash_mod_count_middle,slash_mod_density_middle,0.9610715221059084,50.0,48.0
token_mC_fraction,token_mC_count,0.986055575903852,52.0,46.0
base_T_count,base_U_count,1.0,54.0,54.0
rna_last_fraction,mod_density_3p,0.9068867162069087,56.0,34.0
modified_token_density_middle,mod_density_middle,1.0,57.0,57.0
modified_token_count_middle,mod_density_middle,0.9717762186201112,60.0,57.0
rna_density_middle,mod_density_middle,0.9452306460662446,61.0,57.0
methyl_last_fraction,methyl_mean_fraction,0.9898160744368691,64.0,30.0
longest_mA_run,mod_density_3p,0.921074900956956,65.0,34.0
token_mG_count,token_mC_count,0.9280451431927713,69.0,46.0
token_mA_count,token_mC_count,0.9270164473391002,70.0,46.0
base_A_count,token_rA_count,0.9329597107585507,71.0,63.0
rna_first_fraction,rna_first_position,0.9305699670658627,72.0,67.0
slash_mod_density_3p,slash_mod_count_3p,0.9805570020939999,78.0,74.0
token_mG_fraction,mod_density_3p,0.9346265127331633,79.0,34.0
star_density_middle,star_count_middle,0.9739401682399358,80.0,77.0
star_density_5p,star_count_5p,0.9269900585964386,81.0,75.0
token_mA_fraction,mod_density_3p,0.9203392661662924,82.0,34.0
modified_token_first_fraction,modified_token_mean_fraction,0.983095855360884,83.0,32.0
base_A_fraction,token_rA_fraction,0.9011943859154712,87.0,76.0
methyl_first_fraction,methyl_mean_fraction,0.9823543092735403,88.0,30.0
methyl_first_position,star_first_position,0.9973684877073782,89.0,86.0
token_rC_count,token_rG_count,0.9077518479048972,91.0,68.0
star_mean_position,methyl_mean_position,0.9414166895759515,92.0,59.0
methyl_span_fraction,methyl_mean_fraction,0.9591953230985879,93.0,30.0
modified_token_span_fraction,modified_token_mean_fraction,0.9767027651262121,97.0,32.0
modified_token_last_fraction,modified_token_mean_fraction,0.9854363639720485,98.0,32.0
slash_mod_span_fraction,slash_mod_position_std,0.9555348973036628,99.0,94.0
modified_token_last_position,modified_token_position_std,0.9014896608833823,100.0,44.0
methyl_density_middle,mod_density_middle,0.97656875219722,101.0,57.0
methyl_count_middle,mod_density_middle,0.9502138064587277,103.0,57.0
star_last_fraction,methyl_mean_fraction,0.9804806034683732,104.0,30.0
modified_token_density_5p,mod_density_5p,1.0,105.0,105.0
token_mU_fraction,mod_density_3p,0.9012754369753265,107.0,34.0
base_T_fraction,base_U_fraction,1.0,108.0,108.0
modified_token_count_5p,methyl_count_5p,0.9507488531634932,111.0,102.0
pyrimidine_fraction,purine_fraction,1.0,112.0,112.0
methyl_density_5p,mod_density_5p,0.943710055860135,115.0,105.0
rna_density_5p,mod_density_5p,0.9133826884617173,118.0,105.0
base_length,rna_mean_position,0.9065392894222571,119.0,31.0
star_last_position,methyl_mean_position,0.9344995532671068,120.0,59.0
gc_fraction,base_C_fraction,0.9148844885242013,121.0,96.0
au_fraction,base_C_fraction,0.9148844885242043,121.0,96.0
slash_mod_last_fraction,slash_mod_last_position,0.9606299754819343,123.0,117.0
methyl_last_position,methyl_mean_position,0.9489729709923452,124.0,59.0
star_position_std,methyl_mean_position,0.915886976669735,125.0,59.0
rna_count_5p,rna_count_middle,0.9235591692669664,126.0,53.0
slash_mod_mean_position,slash_mod_last_position,0.9469981658601445,127.0,117.0
star_span_fraction,methyl_mean_fraction,0.9534168653421109,130.0,30.0
star_density,star_count_5p,0.9255157595259861,131.0,75.0
slash_mod_mean_fraction,slash_mod_last_position,0.9500378927013936,132.0,117.0
star_count,star_count_5p,0.9092637975529776,133.0,75.0
star_count_3p,star_density_3p,0.9185473161638269,134.0,73.0
slash_mod_first_fraction,slash_mod_last_position,0.9062501473394575,136.0,117.0
token_mU_count,mod_density_3p,0.9079926725114061,139.0,34.0
longest_star_run,methyl_mean_fraction,0.9794212131848274,140.0,30.0
lna_density_3p,lna_count_3p,1.0,141.0,141.0
has_slash_mod,slash_mod_last_position,0.9238267514926777,144.0,117.0
star_first_fraction,methyl_mean_fraction,0.9737428366330886,148.0,30.0
token_length,decorated_length,0.9866032766297187,150.0,145.0
slash_mod_count_5p,slash_mod_density_5p,0.9135479590608394,152.0,149.0
