model,fold,rows,failures,average_precision,pr_auc,roc_auc,brier_score,f1_score,recall_at_precision_25,recall_at_precision_50,recall_at_precision_75,precision_top_01,precision_top_05,precision_top_10,threshold_0_5_tn,threshold_0_5_fp,threshold_0_5_fn,threshold_0_5_tp
correlation_reduced_prevalence_baseline,1,529,17,0.03213610586011342,0.03213610586011342,0.5,0.031103585579788588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0,17,0
correlation_reduced_logistic_l2_balanced,1,529,17,0.0602402713391103,0.0602402713391103,0.5548598345588235,0.21805244728197268,0.08071748878923767,0.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0.07547169811320754,315,197,8,9
correlation_reduced_logistic_l1_balanced,1,529,17,0.06169614929242605,0.06169614929242605,0.5607192095588235,0.21640993470529357,0.08035714285714286,0.0,0.0,0.0,0.16666666666666666,0.14814814814814814,0.07547169811320754,314,198,8,9
correlation_reduced_elastic_net_logistic,1,529,17,0.05905993731318966,0.05905993731318966,0.5540556066176471,0.21790664216851247,0.08035714285714286,0.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0.07547169811320754,314,198,8,9
correlation_reduced_linear_svm_rbf_calibrated_probability,1,529,17,0.030962427346263834,0.030962427346263834,0.45008042279411764,0.031376161442620315,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.018867924528301886,512,0,17,0
correlation_reduced_hist_gradient_boosting,1,529,17,0.06609357487624705,0.06609357487624705,0.5288947610294118,0.034022511670656355,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.09433962264150944,509,3,17,0
correlation_reduced_balanced_random_forest,1,529,17,0.06618370070012157,0.06618370070012157,0.5860523897058824,0.12341019353102167,0.11764705882352941,0.0,0.0,0.0,0.0,0.1111111111111111,0.07547169811320754,481,31,14,3
correlation_reduced_elastic_net_logistic_with_char_ngrams,1,529,17,0.09805798937840045,0.09805798937840045,0.5804802389705883,0.20690802204770734,0.075,0.058823529411764705,0.058823529411764705,0.0,0.16666666666666666,0.14814814814814814,0.11320754716981132,375,137,11,6
correlation_reduced_lightgbm_balanced,1,529,17,0.10258438859165091,0.10258438859165091,0.601217830882353,0.1041184448233504,0.1111111111111111,0.23529411764705882,0.0,0.0,0.16666666666666666,0.14814814814814814,0.07547169811320754,444,68,12,5
correlation_reduced_xgboost_weighted,1,529,17,0.06632221376477028,0.06632221376477028,0.6161534926470589,0.13939513266086578,0.1206896551724138,0.0,0.0,0.0,0.0,0.1111111111111111,0.07547169811320754,420,92,10,7
correlation_reduced_prevalence_baseline,2,530,18,0.033962264150943396,0.033962264150943396,0.5,0.032812163618788116,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.03773584905660377,512,0,18,0
correlation_reduced_logistic_l2_balanced,2,530,18,0.05473882158417579,0.05473882158417579,0.61865234375,0.19118214797124294,0.10687022900763359,0.0,0.0,0.0,0.0,0.037037037037037035,0.07547169811320754,406,106,11,7
correlation_reduced_logistic_l1_balanced,2,530,18,0.05233874911170913,0.05233874911170913,0.6091037326388888,0.19237451451782778,0.10144927536231885,0.0,0.0,0.0,0.0,0.037037037037037035,0.07547169811320754,399,113,11,7
correlation_reduced_elastic_net_logistic,2,530,18,0.051644191110654755,0.051644191110654755,0.59326171875,0.1946775637371467,0.09302325581395349,0.0,0.0,0.0,0.0,0.037037037037037035,0.07547169811320754,407,105,12,6
correlation_reduced_linear_svm_rbf_calibrated_probability,2,530,18,0.030377400315183038,0.030377400315183038,0.3775499131944444,0.03285984282020626,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.018867924528301886,512,0,18,0
correlation_reduced_hist_gradient_boosting,2,530,18,0.12755673636895523,0.12755673636895523,0.6920030381944444,0.03426425556779173,0.09523809523809523,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.07547169811320754,510,2,17,1
correlation_reduced_balanced_random_forest,2,530,18,0.09688291326587721,0.09688291326587721,0.6506618923611112,0.10383280849221858,0.15,0.05555555555555555,0.05555555555555555,0.0,0.16666666666666666,0.1111111111111111,0.09433962264150944,493,19,15,3
correlation_reduced_elastic_net_logistic_with_char_ngrams,2,530,18,0.08312409830396336,0.08312409830396336,0.55908203125,0.17965621737197654,0.08163265306122448,0.1111111111111111,0.05555555555555555,0.0,0.16666666666666666,0.07407407407407407,0.05660377358490566,436,76,14,4
correlation_reduced_lightgbm_balanced,2,530,18,0.10198832199649455,0.10198832199649455,0.6910264756944444,0.09763570103225049,0.11764705882352941,0.16666666666666666,0.0,0.0,0.16666666666666666,0.1111111111111111,0.07547169811320754,450,62,13,5
correlation_reduced_xgboost_weighted,2,530,18,0.10849551636157562,0.10849551636157562,0.6407877604166667,0.12704624235630035,0.12173913043478261,0.2222222222222222,0.05555555555555555,0.0,0.16666666666666666,0.14814814814814814,0.09433962264150944,422,90,11,7
correlation_reduced_prevalence_baseline,3,529,17,0.03213610586011342,0.03213610586011342,0.5,0.031103585579788588,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.03773584905660377,512,0,17,0
correlation_reduced_logistic_l2_balanced,3,529,17,0.1863924686688009,0.1863924686688009,0.5992072610294118,0.19274856074880994,0.09467455621301775,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.5,0.1111111111111111,0.09433962264150944,368,144,9,8
correlation_reduced_logistic_l1_balanced,3,529,17,0.17668104441012478,0.17668104441012478,0.5936925551470588,0.19242503699615285,0.10062893081761007,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.1111111111111111,0.07547169811320754,378,134,9,8
correlation_reduced_elastic_net_logistic,3,529,17,0.1910518421801602,0.1910518421801602,0.6003561580882353,0.1922477420233498,0.0975609756097561,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.5,0.1111111111111111,0.07547169811320754,373,139,9,8
correlation_reduced_linear_svm_rbf_calibrated_probability,3,529,17,0.04156957742329384,0.04156957742329384,0.44491038602941174,0.031209956654342987,0.0,0.0,0.0,0.0,0.16666666666666666,0.037037037037037035,0.018867924528301886,512,0,17,0
correlation_reduced_hist_gradient_boosting,3,529,17,0.1676812231192399,0.1676812231192399,0.6203469669117646,0.029200110616755332,0.21052631578947367,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.1111111111111111,0.05660377358490566,512,0,15,2
correlation_reduced_balanced_random_forest,3,529,17,0.06502876750676806,0.06502876750676806,0.574850643382353,0.10765901121465922,0.11428571428571428,0.11764705882352941,0.0,0.0,0.16666666666666666,0.07407407407407407,0.07547169811320754,496,16,15,2
correlation_reduced_elastic_net_logistic_with_char_ngrams,3,529,17,0.11467438020156226,0.11467438020156226,0.5155675551470589,0.19438170525234408,0.07142857142857142,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.16666666666666666,0.1111111111111111,0.05660377358490566,421,91,13,4
correlation_reduced_lightgbm_balanced,3,529,17,0.15001300682418436,0.15001300682418436,0.5361328125,0.07909047753230258,0.07142857142857142,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.07407407407407407,0.03773584905660377,475,37,15,2
correlation_reduced_xgboost_weighted,3,529,17,0.10547959017146105,0.10547959017146105,0.5352136948529411,0.12104053050279617,0.0821917808219178,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.16666666666666666,0.07407407407407407,0.05660377358490566,459,53,14,3
