model_reduced,fold_reduced,rows_reduced,failures_reduced,average_precision_reduced,pr_auc_reduced,roc_auc_reduced,brier_score_reduced,f1_score_reduced,recall_at_precision_25_reduced,recall_at_precision_50_reduced,recall_at_precision_75_reduced,precision_top_01_reduced,precision_top_05_reduced,precision_top_10_reduced,threshold_0_5_tn_reduced,threshold_0_5_fp_reduced,threshold_0_5_fn_reduced,threshold_0_5_tp_reduced,base_model,model_full,fold_full,rows_full,failures_full,average_precision_full,pr_auc_full,roc_auc_full,brier_score_full,f1_score_full,recall_at_precision_25_full,recall_at_precision_50_full,recall_at_precision_75_full,precision_top_01_full,precision_top_05_full,precision_top_10_full,threshold_0_5_tn_full,threshold_0_5_fp_full,threshold_0_5_fn_full,threshold_0_5_tp_full,original_feature_count,reduced_feature_count,removed_feature_count,average_precision_delta,pr_auc_delta,roc_auc_delta,f1_score_delta,precision_top_05_delta
correlation_reduced_hist_gradient_boosting,overall_oof,2646,86,0.11385656722578366,0.11385656722578366,0.6529160610465117,0.03187099959148964,0.08,0.06976744186046512,0.023255813953488372,0.023255813953488372,0.2222222222222222,0.13533834586466165,0.09811320754716982,2550,10,82,4,hist_gradient_boosting,hist_gradient_boosting,overall_oof,2646,86,0.1087170798216837,0.1087170798216837,0.6303779069767442,0.0318632443327943,0.116504854368932,0.0697674418604651,0.0581395348837209,0.0116279069767441,0.2222222222222222,0.1278195488721804,0.090566037735849,2549,11,80,6,161,71,90,0.00513948740409996,0.00513948740409996,0.022538154069767447,-0.036504854368932,0.007518796992481258
correlation_reduced_xgboost_weighted,overall_oof,2646,86,0.10256841504877992,0.10256841504877992,0.6328511082848838,0.12863327373803102,0.12307692307692308,0.13953488372093023,0.03488372093023256,0.0,0.18518518518518517,0.14285714285714285,0.09056603773584905,2158,402,54,32,xgboost_weighted,xgboost_weighted,overall_oof,2646,86,0.0906776777644526,0.0906776777644526,0.6237577216569767,0.1231660349328093,0.112,0.1744186046511628,0.0116279069767441,0.0,0.1851851851851851,0.150375939849624,0.0867924528301886,2174,386,58,28,161,71,90,0.011890737284327324,0.011890737284327324,0.00909338662790704,0.011076923076923081,-0.007518796992481147
correlation_reduced_lightgbm_balanced,overall_oof,2646,86,0.09103047482628626,0.09103047482628626,0.6474314135174419,0.09176565820662268,0.12853470437017994,0.16279069767441862,0.0,0.0,0.3333333333333333,0.15037593984962405,0.08679245283018867,2282,278,61,25,lightgbm_balanced,lightgbm_balanced,overall_oof,2646,86,0.102957914739944,0.102957914739944,0.6172420058139535,0.0871416816922925,0.1318051575931232,0.1627906976744186,0.0348837209302325,0.0,0.2962962962962963,0.1428571428571428,0.0867924528301886,2320,240,63,23,161,71,90,-0.011927439913657745,-0.011927439913657745,0.030189407703488436,-0.0032704532229432537,0.007518796992481258
correlation_reduced_elastic_net_logistic_with_char_ngrams,overall_oof,2646,86,0.08939504851163046,0.08939504851163046,0.5776844113372093,0.19576450287193597,0.08247422680412371,0.12790697674418605,0.011627906976744186,0.0,0.25925925925925924,0.12030075187969924,0.08679245283018867,1995,565,58,28,elastic_net_logistic_with_char_ngrams,elastic_net_logistic_with_char_ngrams,overall_oof,2646,86,0.0761963933224335,0.0761963933224335,0.5832712572674419,0.1978731214793242,0.100143061516452,0.0813953488372093,0.0,0.0,0.2222222222222222,0.1203007518796992,0.090566037735849,1982,578,51,35,161,71,90,0.013198655189196967,0.013198655189196967,-0.00558684593023262,-0.017668834712328288,4.163336342344337e-17
correlation_reduced_balanced_random_forest,overall_oof,2646,86,0.08203959006646519,0.08203959006646519,0.6303165879360465,0.11130218183046053,0.17511520737327188,0.011627906976744186,0.0,0.0,0.1111111111111111,0.14285714285714285,0.09056603773584905,2448,112,67,19,balanced_random_forest,balanced_random_forest,overall_oof,2646,86,0.0848346561859511,0.0848346561859511,0.6230128088662791,0.1094782114238926,0.2068965517241379,0.0232558139534883,0.0,0.0,0.1111111111111111,0.1654135338345864,0.0943396226415094,2464,96,65,21,161,71,90,-0.002795066119485906,-0.002795066119485906,0.007303779069767424,-0.03178134435086602,-0.022556390977443552
correlation_reduced_logistic_l2_balanced,overall_oof,2646,86,0.070040813062244,0.070040813062244,0.5972701671511628,0.19443444556270417,0.09414758269720101,0.05813953488372093,0.0,0.0,0.18518518518518517,0.11278195488721804,0.07547169811320754,1897,663,49,37,logistic_l2_balanced,logistic_l2_balanced,overall_oof,2646,86,0.0767340529264467,0.0767340529264467,0.5930414244186046,0.1873603957667382,0.086734693877551,0.1046511627906976,0.0,0.0,0.2962962962962963,0.112781954887218,0.0716981132075471,1896,664,52,34,161,71,90,-0.006693239864202699,-0.006693239864202699,0.004228742732558133,0.007412888819650007,4.163336342344337e-17
correlation_reduced_elastic_net_logistic,overall_oof,2646,86,0.06613200944676519,0.06613200944676519,0.5912609011627907,0.19486618191836794,0.09171974522292993,0.0,0.0,0.0,0.18518518518518517,0.09774436090225563,0.07547169811320754,1897,663,50,36,elastic_net_logistic,elastic_net_logistic,overall_oof,2646,86,0.0739836202499441,0.0739836202499441,0.5906749636627907,0.1877245528254061,0.0895140664961636,0.1046511627906976,0.0,0.0,0.2592592592592592,0.112781954887218,0.0792452830188679,1899,661,51,35,161,71,90,-0.007851610803178907,-0.007851610803178907,0.0005859375000000222,0.0022056787267663303,-0.015037593984962364
correlation_reduced_logistic_l1_balanced,overall_oof,2646,86,0.06437322112666516,0.06437322112666516,0.5913108648255814,0.19483248334538278,0.08771929824561403,0.0,0.0,0.0,0.18518518518518517,0.10526315789473684,0.07169811320754717,1883,677,51,35,logistic_l1_balanced,logistic_l1_balanced,overall_oof,2646,86,0.0702036662404786,0.0702036662404786,0.59248046875,0.1868191187100515,0.0839506172839506,0.0930232558139534,0.0,0.0,0.2592592592592592,0.112781954887218,0.0754716981132075,1870,690,52,34,161,71,90,-0.0058304451138134344,-0.0058304451138134344,-0.0011696039244186718,0.003768680961663426,-0.007518796992481161
correlation_reduced_prevalence_baseline,overall_oof,2646,86,0.03221266525689715,0.03221266525689715,0.4953488372093023,0.031445817764471036,0.0,0.0,0.0,0.0,0.0,0.06015037593984962,0.03773584905660377,2560,0,86,0,prevalence_baseline,prevalence_baseline,overall_oof,2646,86,0.0322126652568971,0.0322126652568971,0.4953488372093023,0.031445817764471,0.0,0.0,0.0,0.0,0.0,0.0601503759398496,0.0377358490566037,2560,0,86,0,161,71,90,4.85722573273506e-17,4.85722573273506e-17,0.0,0.0,2.0816681711721685e-17
correlation_reduced_linear_svm_rbf_calibrated_probability,overall_oof,2646,86,0.028367776058066587,0.028367776058066587,0.409593023255814,0.03164071315229946,0.0,0.0,0.0,0.0,0.037037037037037035,0.022556390977443608,0.033962264150943396,2560,0,86,0,linear_svm_rbf_calibrated_probability,linear_svm_rbf_calibrated_probability,overall_oof,2646,86,0.0282024656115567,0.0282024656115567,0.4109874636627907,0.0316085235557613,0.0,0.0,0.0,0.0,0.0,0.0300751879699248,0.0377358490566037,2560,0,86,0,161,71,90,0.00016531044650988647,0.00016531044650988647,-0.0013944404069767269,0.0,-0.007518796992481192
