model,fold,rows,failures,average_precision,pr_auc,roc_auc,brier_score,f1_score,recall_at_precision_25,recall_at_precision_50,recall_at_precision_75,precision_top_01,precision_top_05,precision_top_10,threshold_0_5_tn,threshold_0_5_fp,threshold_0_5_fn,threshold_0_5_tp
prevalence_baseline,1,529,17,0.03213610586011342,0.03213610586011342,0.5,0.031103585579788588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0,17,0
rule_baseline,1,529,17,0.03479087367483726,0.03479087367483726,0.4356617647058823,0.15907496043181535,0.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,489,23,17,0
logistic_l2_balanced,1,529,17,0.06946830434956923,0.06946830434956923,0.5630170036764706,0.21595325551523092,0.08108108108108109,0.0,0.0,0.0,0.16666666666666666,0.14814814814814814,0.09433962264150944,316,196,8,9
logistic_l1_balanced,1,529,17,0.07231794997005926,0.07231794997005926,0.5728400735294118,0.21708631365501382,0.07860262008733625,0.0,0.0,0.0,0.16666666666666666,0.14814814814814814,0.09433962264150944,309,203,8,9
elastic_net_logistic,1,529,17,0.06783906231345571,0.06783906231345571,0.5617532169117647,0.21729295180976627,0.07964601769911504,0.0,0.0,0.0,0.16666666666666666,0.14814814814814814,0.09433962264150944,312,200,8,9
linear_svm_rbf_calibrated_probability,1,529,17,0.031012675807688562,0.031012675807688562,0.44709329044117646,0.031362676404641396,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,512,0,17,0
hist_gradient_boosting,1,529,17,0.07067051092077721,0.07067051092077721,0.5284352022058824,0.03397791202442252,0.0,0.0,0.0,0.0,0.16666666666666666,0.14814814814814814,0.07547169811320754,508,4,17,0
balanced_random_forest,1,529,17,0.06982976490939348,0.06982976490939348,0.597311580882353,0.12179841067382487,0.17142857142857143,0.0,0.0,0.0,0.0,0.1111111111111111,0.07547169811320754,497,15,14,3
elastic_net_logistic_with_char_ngrams,1,529,17,0.07291541537685058,0.07291541537685058,0.6105813419117647,0.21698772367835273,0.10909090909090909,0.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0.11320754716981132,373,139,8,9
lightgbm_balanced,1,529,17,0.11282982212435125,0.11282982212435125,0.5770335477941178,0.09503954022723647,0.10526315789473684,0.23529411764705882,0.058823529411764705,0.0,0.16666666666666666,0.14814814814814814,0.07547169811320754,457,55,13,4
xgboost_weighted,1,529,17,0.05880338463074536,0.05880338463074536,0.6088005514705882,0.13485299050807953,0.09917355371900827,0.0,0.0,0.0,0.0,0.07407407407407407,0.07547169811320754,414,98,11,6
prevalence_baseline,2,530,18,0.033962264150943396,0.033962264150943396,0.5,0.032812163618788116,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.03773584905660377,512,0,18,0
rule_baseline,2,530,18,0.03110731391054749,0.03110731391054749,0.45052083333333337,0.168532256848006,0.0425531914893617,0.0,0.0,0.0,0.0,0.037037037037037035,0.018867924528301886,484,28,17,1
logistic_l2_balanced,2,530,18,0.05334444658393258,0.05334444658393258,0.5884874131944444,0.18693574694065745,0.08,0.0,0.0,0.0,0.0,0.037037037037037035,0.07547169811320754,410,102,13,5
logistic_l1_balanced,2,530,18,0.05827466784407542,0.05827466784407542,0.6217990451388888,0.1832637586313,0.096,0.0,0.0,0.0,0.0,0.037037037037037035,0.09433962264150944,411,101,12,6
elastic_net_logistic,2,530,18,0.05255814344289886,0.05255814344289886,0.5907660590277778,0.18701274083980962,0.09448818897637795,0.0,0.0,0.0,0.0,0.037037037037037035,0.09433962264150944,409,103,12,6
linear_svm_rbf_calibrated_probability,2,530,18,0.031275595381939345,0.031275595381939345,0.3873155381944444,0.03286467658119194,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.03773584905660377,512,0,18,0
hist_gradient_boosting,2,530,18,0.12148394401442747,0.12148394401442747,0.6426323784722222,0.03456538058931929,0.09090909090909091,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.07547169811320754,509,3,17,1
balanced_random_forest,2,530,18,0.09735642773169031,0.09735642773169031,0.6258138020833334,0.10401848888321584,0.18604651162790697,0.05555555555555555,0.05555555555555555,0.0,0.16666666666666666,0.14814814814814814,0.09433962264150944,491,21,14,4
elastic_net_logistic_with_char_ngrams,2,530,18,0.1184302849727634,0.1184302849727634,0.5399848090277778,0.17679512818741283,0.09448818897637795,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.3333333333333333,0.07407407407407407,0.07547169811320754,409,103,12,6
lightgbm_balanced,2,530,18,0.12979912314020775,0.12979912314020775,0.6280924479166666,0.09597948803999261,0.1,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.07547169811320754,454,58,14,4
xgboost_weighted,2,530,18,0.08801012258531181,0.08801012258531181,0.6376410590277778,0.1265852451324463,0.09174311926605505,0.05555555555555555,0.0,0.0,0.16666666666666666,0.18518518518518517,0.09433962264150944,426,86,13,5
prevalence_baseline,3,529,17,0.03213610586011342,0.03213610586011342,0.5,0.031103585579788588,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.03773584905660377,512,0,17,0
rule_baseline,3,529,17,0.08895807097859845,0.08895807097859845,0.6094898897058824,0.14423960663982063,0.13636363636363635,0.058823529411764705,0.058823529411764705,0.0,0.16666666666666666,0.1111111111111111,0.09433962264150944,488,24,14,3
logistic_l2_balanced,3,529,17,0.15735829937307455,0.15735829937307455,0.5380859375,0.18190807186466054,0.07692307692307693,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.1111111111111111,0.05660377358490566,379,133,11,6
logistic_l1_balanced,3,529,17,0.16491172584855618,0.16491172584855618,0.5566980698529411,0.1803944463012123,0.07792207792207792,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.3333333333333333,0.14814814814814814,0.07547169811320754,381,131,11,6
