feature,mannwhitney_p,welch_p,ks_p,rank_biserial,cohen_d,mean_difference_fail_minus_pass,median_difference_fail_minus_pass,random_forest_importance,mannwhitney_p_rank,random_forest_importance_rank
token_lT_count,7.553427346740651e-14,0.0480247998061763,0.9899112044354206,0.0450218023255815,1.0957059238036144,0.1833121366279069,0.0,0.0,1.0,133.0
token_lA_count,7.553473515028682e-14,0.0497809932981269,0.9899112044354206,0.0450218023255815,1.07558645719186,0.1716842296511627,0.0,0.0,2.0,133.0
token_lA_fraction,7.553519683579243e-14,0.0521779566249353,0.9899112044354206,0.0450218023255815,1.0772818990789308,0.0014086498421375,0.0,0.0,3.0,133.0
token_lT_fraction,7.553519683579243e-14,0.048748533181477,0.9899112044354206,0.0450218023255815,1.1011673248735778,0.0014888423040461,0.0,0.0,3.0,133.0
longest_lT_run,7.728736197692707e-14,0.0562346906611434,0.9932276397939468,0.0450036337209303,1.0129152627367604,0.0798328488372093,0.0,0.0,5.0,133.0
longest_lA_run,8.27875879326043e-14,0.052472552906956,0.9932276397939468,0.0449491279069766,0.8271615522613343,0.0449491279069767,0.0,0.0,6.0,133.0
longest_lC_run,8.210461956427444e-13,0.0942407516012955,0.9999221222312114,0.0340888444767442,0.6170556166513437,0.0337118459302325,0.0,0.0,7.0,133.0
token_lC_count,8.383631578618186e-13,0.102488426494372,0.9999221222312114,0.0340752180232557,0.424843260781707,0.0329305959302325,0.0,0.0,8.0,133.0
token_lC_fraction,8.383669120600797e-13,0.1007103850170496,0.9999221222312114,0.0340752180232557,0.4579136385502309,0.0002820649574205,0.0,0.0,9.0,133.0
token_lG_fraction,2.7699223414566267e-12,0.0588216508679516,0.9908327031030248,0.0446220930232557,0.8487188604471971,0.0008853786218438,0.0,0.0,10.0,133.0
token_lG_count,2.899121689373597e-12,0.0672362416982114,0.9932276397939468,0.0445812136627907,0.8271615522613345,0.1123728197674418,0.0,0.0,11.0,133.0
longest_lG_run,2.958406290305499e-12,0.069176810330742,0.9939110781337044,0.0445630450581395,0.7484172305550342,0.0557957848837209,0.0,0.0,12.0,133.0
lna_count_middle,4.697271755912759e-11,0.0495353655803063,0.9899112044354206,0.0442768895348837,1.0500185400802755,0.5006904069767442,0.0,0.0007654670493855122,13.0,119.0
lna_position_std,4.697289639322272e-11,0.0589858176099041,0.9899112044354206,0.0442768895348837,1.1234068025571375,0.3343105437271197,0.0,0.0,14.0,133.0
lna_density_middle,4.697292619896038e-11,0.0501197073557086,0.9899112044354206,0.0442768895348837,1.061121775691187,0.0122506051966444,0.0,0.0,15.0,133.0
lna_span_fraction,4.697301561629225e-11,0.0614768985854929,0.9899112044354206,0.0442768895348837,1.119213290464684,0.0085370578711841,0.0,0.0,16.0,133.0
longest_lna_run,4.89620084546999e-10,0.0515089896531188,0.9899112044354206,0.0439044331395348,1.0022582675942933,0.430532340116279,0.0,0.0,17.0,133.0
lna_last_fraction,5.3146979638167e-10,0.0591625250962934,0.9939110781337044,0.043813590116279,0.6866071226485186,0.0694153047685144,0.0,0.0,18.0,133.0
lna_last_position,5.49168247594172e-10,0.0604365357813936,0.9939110781337044,0.0437772529069766,0.6357532808700549,3.1418059593023258,0.0,0.0,19.0,133.0
lna_mean_position,5.768004078536545e-10,0.0638754424838665,0.9939110781337044,0.0437227470930232,0.5348475877505611,2.4568850753171247,0.0,0.0012704945666082137,20.0,112.0
lna_first_position,5.768004078536545e-10,0.0667719693326465,0.9939110781337044,0.0437227470930232,0.4817869825850612,2.127143895348837,0.0,0.0002760569621897869,20.0,126.0
lna_mean_fraction,5.768012957221861e-10,0.0600696183377902,0.9939110781337044,0.0437227470930232,0.6505288942514289,0.063620114650043,0.0,0.00040589022807856667,22.0,123.0
lna_first_fraction,5.81536690638507e-10,0.0606195911269503,0.9945413104682752,0.0437136627906977,0.6339557308179747,0.0608782468973306,0.0,0.00046763437396026757,23.0,121.0
longest_rU_run,0.0001276962775514,0.0045896283985972,0.0030879163753188,-0.2028297601744185,-0.3264944887972882,-0.2715661337209298,0.0,0.011030686294109453,24.0,37.0
rna_mean_fraction,0.0007229009148549,0.0804151394200131,0.0018567414450007,-0.2087890624999999,-0.1825224452944984,-0.009261575568043,0.0,0.014927189561624365,25.0,20.0
rna_count_3p,0.0030322327811735,0.0950568830654126,0.0005180864518134,-0.1825218023255813,-0.1860480158675478,-2.2958393895348834,-1.0,0.011910449327621,26.0,33.0
repeated_dinucleotide_count,0.0035141928401281,0.6519355813268766,0.0098809973956717,-0.1822356468023256,-0.057367026822014,-0.6506268168604645,0.0,0.027878434305778618,27.0,2.0
longest_homopolymer_run,0.0037576694908057,0.4227469954341686,0.0788651903212595,-0.1532748909883721,-0.0994843359502196,-0.2086755087209306,0.0,0.005009152977667094,28.0,76.0
longest_rA_run,0.0046369742577618,0.3547555255679202,0.0409535220596294,-0.1640488735465116,-0.1142022416271166,-0.2568041424418599,-1.0,0.0034666186278327665,29.0,88.0
methyl_mean_fraction,0.0072735922182583,0.4917405771265749,0.0078424935326881,0.1659474927325581,0.0765949727099447,0.0385836581756094,0.0095238095238096,0.010278397542063784,30.0,44.0
rna_mean_position,0.0109578095493873,0.1313969887195193,0.0098527663800112,-0.1581985828488372,-0.1620078799264294,-1.9484561000056289,0.0,0.0159864022431697,31.0,17.0
modified_token_mean_fraction,0.0133167607387159,0.6703681309868523,0.001375761277989,0.1534474927325582,-0.0555291189082118,-0.0212435932365584,0.0043859649122807,0.016933742422389184,32.0,13.0
token_rU_count,0.0174559080032707,0.0371931823412097,0.0125366360862855,-0.1502043968023255,-0.2235895584856504,-1.6836210029069782,-2.0,0.012829460885627413,33.0,27.0
mod_density_3p,0.0188263971237962,0.1825038361080874,0.0059624548000137,0.1449264171511628,0.1549111914632975,0.0433680095842101,0.0,0.011754857961570393,34.0,36.0
modified_token_density_3p,0.0188263971237962,0.1825038361080874,0.0059624548000137,0.1449264171511628,0.1549111914632975,0.0433680095842101,0.0,0.007393794897751478,34.0,57.0
methyl_count_3p,0.0193274861949078,0.226570603932168,0.014710802610671,0.1263444767441861,0.137325605016961,1.3306231831395348,0.0,0.003430819939879864,36.0,89.0
modified_token_count_3p,0.01947309903294,0.1555930316214476,0.0209515331909128,0.1333666424418604,0.1753614463690549,1.779732921511627,0.0,0.004255931511112138,37.0,81.0
longest_mG_run,0.0196083377615598,0.0216670680716898,0.0136024207377397,0.1346111918604651,0.3199159847182186,0.2251453488372092,0.0,0.004358490288722651,38.0,79.0
rna_density_3p,0.0223400498086251,0.213261190254834,0.006574872848636,-0.1409565770348837,-0.143380286622367,-0.0404751987275154,0.0,0.007713691359128931,39.0,55.0
longest_methyl_run,0.0258630000717852,0.6255784008231084,0.0243540475304311,0.1173646438953488,0.0515802166916638,0.503869912790698,0.0,0.00276561772892605,40.0,92.0
methyl_density_3p,0.0303146255046633,0.2651591068206211,0.0091109250752746,0.1334438590116278,0.1242531083291154,0.0334301660978598,0.0,0.00979294990953229,41.0,46.0
star_mean_fraction,0.0308914902611978,0.5886863407027203,0.4545610889254117,0.1043286700581396,0.0597809989768729,0.029530901823347,0.0,0.013414118657771486,42.0,24.0
