feature,mean_rank,rank_sd,selection_frequency,rf_mean_rank,permutation_mean_rank
repeated_dinucleotide_count,11.715,15.765685631596979,0.93,6.57,16.86
token_rC_fraction,19.41,23.45965589145447,0.88,8.61,30.21
base_C_fraction,17.905,18.878491716632166,0.87,12.02,23.79
token_rG_fraction,20.68,25.573573797333783,0.86,11.58,29.78
purine_fraction,22.17,26.95686977901604,0.85,13.47,30.87
base_G_fraction,22.395,27.75399643622192,0.84,13.76,31.03
base_T_fraction,24.745,32.94458884769142,0.84,16.32,33.17
pyrimidine_fraction,26.63,32.92581345873162,0.83,13.98,39.28
base_U_fraction,26.84,34.14917364455632,0.79,15.89,37.79
token_rC_count,32.685,35.579236865896895,0.74,17.1,48.27
token_rU_fraction,34.355,39.77781061310083,0.73,18.71,50.0
base_A_fraction,34.005,35.40362469316018,0.68,16.95,51.06
modified_token_position_std,39.415,41.522724397781765,0.67,19.46,59.37
au_fraction,34.76,35.74273112512288,0.66,18.89,50.63
base_C_count,42.61,40.24348745857251,0.61,21.39,63.83
gc_fraction,43.115,39.48998434586121,0.58,22.01,64.22
token_rA_fraction,44.845,39.632254936013055,0.55,21.14,68.55
token_rG_count,47.45,41.54786092538036,0.55,22.24,72.66
rna_position_std,51.71,43.506830997377214,0.54,25.55,77.87
base_T_count,51.59,44.23019330728729,0.52,24.23,78.95
base_U_count,53.775,44.44417534640757,0.51,25.23,82.32
star_position_std,54.02,46.944299682999564,0.51,26.91,81.13
rna_density_5p,53.71,45.14058734955302,0.5,28.7,78.72
base_G_count,52.78,41.2843257854062,0.48,24.83,80.73
base_A_count,55.03,42.353062689632246,0.48,26.03,84.03
token_rU_count,60.13,44.261996604698524,0.44,29.66,90.6
modified_token_mean_fraction,60.54,45.7814130163954,0.43,29.28,91.8
token_mU_fraction,64.735,43.9691957712178,0.39,30.66,98.81
longest_rna_run,68.625,43.41212969954947,0.36,31.2,106.05
methyl_position_std,70.365,44.02707242209736,0.36,35.26,105.47
token_rA_count,68.595,41.561424361413486,0.34,30.78,106.41
rna_mean_fraction,72.415,44.8364060566947,0.33,35.23,109.6
rna_mean_position,70.38,41.81145268652569,0.32,30.93,109.83
token_mA_fraction,86.25,38.981962935996876,0.2,44.7,127.8
rna_count_middle,88.55,36.756741977602985,0.18,43.27,133.83
rna_count_3p,87.755,36.82407637687741,0.17,43.12,132.39
rna_first_fraction,92.325,35.52758033762593,0.16,47.6,137.05
token_mG_fraction,89.23,33.04377415037529,0.15,41.03,137.43
rna_last_position,91.16,34.64501654952948,0.15,45.21,137.11
methyl_mean_fraction,92.28,34.84709167175645,0.15,46.28,138.28
rna_span_fraction,87.345,34.592774906872904,0.14,40.21,134.48
token_mC_fraction,89.04,35.70131989750859,0.14,43.27,134.81
modified_token_mean_position,91.115,32.604753867304,0.14,42.73,139.5
decorated_length,94.85,30.348189835023536,0.12,46.73,142.97
star_mean_position,97.82,31.94649251229912,0.11,51.98,143.66
base_length,96.56,30.943764568270705,0.1,49.96,143.16
mod_density_3p,97.89,31.23635702190638,0.1,51.44,144.34
rna_count_5p,98.69,28.13412859711834,0.09,50.09,147.29
modified_token_density_3p,99.17,30.24113694351394,0.09,52.35,145.99
rna_density_3p,99.925,29.288393174557644,0.09,53.74,146.11
