feature,iteration,rf_rank,permutation_rank,combined_rank,selected
decorated_length,1,23.0,13.0,18.0,True
token_length,1,49.0,161.0,105.0,False
base_length,1,34.0,161.0,97.5,False
unknown_char_count,1,145.5,161.0,153.25,False
unknown_char_fraction,1,145.5,161.0,153.25,False
slash_mod_count,1,93.0,161.0,127.0,False
has_slash_mod,1,114.0,161.0,137.5,False
star_count,1,96.0,161.0,128.5,False
star_density,1,58.0,161.0,109.5,False
terminal_star_count,1,145.5,161.0,153.25,False
mod_density_5p,1,91.0,161.0,126.0,False
mod_density_middle,1,57.0,161.0,109.0,False
mod_density_3p,1,33.0,161.0,97.0,False
gc_fraction,1,43.0,161.0,102.0,False
au_fraction,1,21.0,2.0,11.5,True
purine_fraction,1,30.0,161.0,95.5,False
pyrimidine_fraction,1,37.0,161.0,99.0,False
terminal_gc_count,1,50.0,161.0,105.5,False
longest_homopolymer_run,1,112.0,161.0,136.5,False
longest_gc_run,1,68.0,161.0,114.5,False
max_gc_window_10,1,83.0,161.0,122.0,False
repeated_dinucleotide_count,1,2.0,21.0,11.5,True
longest_star_run,1,145.5,161.0,153.25,False
longest_slash_mod_run,1,97.0,161.0,129.0,False
longest_methyl_run,1,87.0,161.0,124.0,False
longest_lna_run,1,145.5,161.0,153.25,False
longest_rna_run,1,39.0,161.0,100.0,False
longest_modified_token_run,1,92.0,161.0,126.5,False
base_A_count,1,5.0,20.0,12.5,True
base_A_fraction,1,46.0,161.0,103.5,False
base_C_count,1,42.0,161.0,101.5,False
base_C_fraction,1,16.0,24.0,20.0,True
base_G_count,1,12.0,23.0,17.5,True
base_G_fraction,1,25.0,12.0,18.5,True
base_U_count,1,9.0,4.0,6.5,True
base_U_fraction,1,4.0,11.0,7.5,True
base_T_count,1,7.0,10.0,8.5,True
base_T_fraction,1,15.0,14.0,14.5,True
token_rA_count,1,52.0,161.0,106.5,False
token_rA_fraction,1,14.0,19.0,16.5,True
longest_rA_run,1,88.0,161.0,124.5,False
token_rC_count,1,35.0,161.0,98.0,False
token_rC_fraction,1,1.0,25.0,13.0,True
longest_rC_run,1,89.0,161.0,125.0,False
token_rG_count,1,19.0,16.0,17.5,True
token_rG_fraction,1,13.0,22.0,17.5,True
longest_rG_run,1,79.0,161.0,120.0,False
token_rU_count,1,38.0,161.0,99.5,False
token_rU_fraction,1,47.0,161.0,104.0,False
longest_rU_run,1,99.0,161.0,130.0,False
token_mA_count,1,81.0,161.0,121.0,False
token_mA_fraction,1,71.0,161.0,116.0,False
