feature,count,mean,std,min,25%,50%,75%,max,correlation_with_fail
lna_position_std,2646.0,0.013942705079732233,0.3033808709288208,0.0,0.0,0.0,0.0,8.617683146293865,0.1954444445800687
lna_span_fraction,2646.0,0.00034478293710835296,0.007775148936357086,0.0,0.0,0.0,0.0,0.22608695652173913,0.194742597654153
token_lT_fraction,2646.0,6.961271778505365e-05,0.001377352649934935,0.0,0.0,0.0,0.0,0.034482758620689655,0.19171893226549547
token_lT_count,2646.0,0.008692365835222978,0.17039937030709582,0.0,0.0,0.0,0.0,4.0,0.19080277383644834
token_lA_fraction,2646.0,6.700631123776042e-05,0.0013310080567761735,0.0,0.0,0.0,0.0,0.034482758620689655,0.18770844707858098
token_lA_count,2646.0,0.008314436885865457,0.1624680656578556,0.0,0.0,0.0,0.0,4.0,0.18742341400775642
lna_density_middle,2646.0,0.0006512895148000353,0.011745496249442931,0.0,0.0,0.0,0.0,0.28205128205128205,0.18498973216868717
lna_count_middle,2646.0,0.027210884353741496,0.4849495974147363,0.0,0.0,0.0,0.0,11.0,0.18311929919479888
longest_lT_run,2646.0,0.0041572184429327285,0.08006205201484111,0.0,0.0,0.0,0.0,2.0,0.1768546000754231
longest_lna_run,2646.0,0.025321239606953892,0.4362165384424487,0.0,0.0,0.0,0.0,11.0,0.17505120423695344
token_lG_fraction,2646.0,5.8815197017613695e-05,0.0010547521437990713,0.0,0.0,0.0,0.0,0.027586206896551724,0.14888126999915824
longest_lA_run,2646.0,0.0030234315948601664,0.05491293176084584,0.0,0.0,0.0,0.0,1.0,0.1451804336323538
token_lG_count,2646.0,0.007558578987150416,0.1372823294021146,0.0,0.0,0.0,0.0,4.0,0.145180433632353
longest_lG_run,2646.0,0.0041572184429327285,0.07519167843272509,0.0,0.0,0.0,0.0,2.0,0.1316112645989533
lna_last_fraction,2646.0,-0.9934499775725465,0.10182693095170842,-1.0,-1.0,-1.0,-1.0,0.9230769230769231,0.1209077197063181
lna_mean_fraction,2646.0,-0.9936719884143914,0.098427963421399,-1.0,-1.0,-1.0,-1.0,0.9230769230769231,0.11464032230740054
lna_last_position,2646.0,-0.690854119425548,4.97225263672681,-1.0,-1.0,-1.0,-1.0,132.0,0.11206954857287556
lna_first_fraction,2646.0,-0.9937947605096548,0.09661626445806429,-1.0,-1.0,-1.0,-1.0,0.9230769230769231,0.11175664248265135
longest_lC_run,2646.0,0.0022675736961451248,0.05494934790073254,0.0,0.0,0.0,0.0,2.0,0.10881316452743334
lna_mean_position,2646.0,-0.7174122174122174,4.613374790066058,-1.0,-1.0,-1.0,-1.0,132.0,0.09445556588524512
lna_first_position,2646.0,-0.7324263038548753,4.430371114579828,-1.0,-1.0,-1.0,-1.0,132.0,0.08515658033784093
token_lC_fraction,2646.0,2.442643318123405e-05,0.0006178906338846481,0.0,0.0,0.0,0.0,0.0234375,0.08096530805131845
token_lC_count,2646.0,0.0030234315948601664,0.07771746743016306,0.0,0.0,0.0,0.0,3.0,0.07515232142741819
methyl_first_position,2646.0,0.17498110355253213,4.665684718643414,-1.0,0.0,0.0,0.0,93.0,0.07353478911434108
star_first_position,2646.0,1.0495086923658352,4.678814997136469,-1.0,1.0,1.0,1.0,94.0,0.07186625898514952
star_count_3p,2646.0,2.6507936507936507,1.305120544061184,0.0,3.0,3.0,3.0,22.0,0.07028314964496563
star_density_3p,2646.0,0.07008677838075555,0.03202487476693189,0.0,0.06976744186046512,0.08333333333333333,0.08333333333333333,0.45652173913043476,0.059402554559084005
longest_rU_run,2646.0,3.623204837490552,0.8329997317591438,0.0,3.0,4.0,4.0,7.0,-0.05782187864774335
longest_mG_run,2646.0,0.863567649281935,0.7047631414822833,0.0,0.0,1.0,1.0,4.0,0.05666061015205401
modified_token_count_middle,2646.0,1.9365079365079365,4.526641712372045,0.0,0.0,0.0,1.0,35.0,0.05625490776056155
mod_density_middle,2646.0,0.052880255307991966,0.11684914159565807,0.0,0.0,0.0,0.023255813953488372,1.0,0.050020943799179304
modified_token_density_middle,2646.0,0.052880255307991966,0.11684914159565807,0.0,0.0,0.0,0.023255813953488372,1.0,0.050020943799179304
rna_density_middle,2646.0,0.9453451866897813,0.12293429091815705,0.0,0.9767441860465116,1.0,1.0,1.0,-0.04489871153796455
rna_count_middle,2646.0,34.96334089191232,8.550117877265128,0.0,32.0,35.0,40.0,66.0,-0.04059956479150812
token_mC_count,2646.0,2.2142857142857144,3.1921157598957257,0.0,0.0,1.0,2.0,16.0,0.04044846618209014
token_rU_count,2646.0,23.58238851095994,7.534458692568629,0.0,19.0,24.0,29.0,60.0,-0.03963270628923422
modified_token_position_std,2646.0,45.64736609049314,17.250569451037265,0.0,33.350409688927755,49.52945251733222,56.0,96.51511107938832,-0.03951829292669578
token_mC_fraction,2646.0,0.020041599911766052,0.028600900707553455,0.0,0.0,0.009433962264150943,0.018867924528301886,0.1509433962264151,0.03698928602996635
star_count,2646.0,5.51360544217687,2.4878540645571836,0.0,6.0,6.0,6.0,35.0,0.0358405883523275
star_count_middle,2646.0,0.09486016628873772,0.42563867201640543,0.0,0.0,0.0,0.0,6.0,0.03426545436695092
methyl_count_middle,2646.0,1.7490551776266061,4.418613860176907,0.0,0.0,0.0,0.0,35.0,0.03308508459435567
rna_count_3p,2646.0,27.988662131519273,12.34442175765201,0.0,26.0,30.0,37.0,61.0,-0.03298619344893497
rna_mean_fraction,2646.0,0.4849285719119973,0.050759112194585225,0.1271186440677966,0.4977299987116516,0.5,0.5006079027355623,0.9859154929577465,-0.03236177300948978
