feature,score,rank,fold,selector,selected_feature_count
token_length,0.09217120180946807,1,1,extra_trees_top_40,40
methyl_last_position,0.08830825045738071,2,1,extra_trees_top_40,40
star_last_position,0.0743782775435097,3,1,extra_trees_top_40,40
decorated_length,0.06693108469815447,4,1,extra_trees_top_40,40
base_length,0.0546284101852973,5,1,extra_trees_top_40,40
star_position_std,0.05045116458492242,6,1,extra_trees_top_40,40
star_mean_position,0.04910669675609835,7,1,extra_trees_top_40,40
rna_mean_position,0.047578991568077725,8,1,extra_trees_top_40,40
modified_token_last_position,0.04348068129080609,9,1,extra_trees_top_40,40
rna_last_position,0.03568974802758504,10,1,extra_trees_top_40,40
base_G_count,0.03148906948982015,11,1,extra_trees_top_40,40
methyl_position_std,0.028026641384737285,12,1,extra_trees_top_40,40
rna_position_std,0.027876007756380678,13,1,extra_trees_top_40,40
base_C_count,0.026906581979648035,14,1,extra_trees_top_40,40
token_rC_count,0.02312888856318607,15,1,extra_trees_top_40,40
rna_count_middle,0.016072598975497076,16,1,extra_trees_top_40,40
token_rG_count,0.014948310765109187,17,1,extra_trees_top_40,40
rna_count_5p,0.01290683970503877,18,1,extra_trees_top_40,40
rna_count_3p,0.011181150790941306,19,1,extra_trees_top_40,40
base_U_count,0.011074117855822005,20,1,extra_trees_top_40,40
modified_token_position_std,0.010732333533896908,21,1,extra_trees_top_40,40
token_rU_count,0.010020222760504289,22,1,extra_trees_top_40,40
methyl_mean_position,0.00833466702248165,23,1,extra_trees_top_40,40
longest_rU_run,0.007648168941139606,24,1,extra_trees_top_40,40
modified_token_mean_position,0.006942779818795467,25,1,extra_trees_top_40,40
base_T_count,0.006304057805740212,26,1,extra_trees_top_40,40
longest_rna_run,0.005651477197234654,27,1,extra_trees_top_40,40
rna_first_fraction,0.004660742528696288,28,1,extra_trees_top_40,40
star_first_fraction,0.0033474526043777626,29,1,extra_trees_top_40,40
slash_mod_span_fraction,0.0032313447351359115,30,1,extra_trees_top_40,40
au_fraction,0.0030564488136355576,31,1,extra_trees_top_40,40
longest_rC_run,0.0028429129748938618,32,1,extra_trees_top_40,40
max_gc_window_10,0.0028065744577335304,33,1,extra_trees_top_40,40
longest_rA_run,0.0027845454258413733,34,1,extra_trees_top_40,40
has_slash_mod,0.0027823339671873785,35,1,extra_trees_top_40,40
terminal_gc_count,0.002715295228031271,36,1,extra_trees_top_40,40
longest_homopolymer_run,0.002639717333549792,37,1,extra_trees_top_40,40
base_A_fraction,0.0025977634785446704,38,1,extra_trees_top_40,40
base_A_count,0.002542708486378422,39,1,extra_trees_top_40,40
base_C_fraction,0.0024662381844985422,40,1,extra_trees_top_40,40
token_length,0.10168957577312181,1,2,extra_trees_top_40,40
methyl_last_position,0.08429501863048375,2,2,extra_trees_top_40,40
star_last_position,0.07351593326800249,3,2,extra_trees_top_40,40
