feature,score,rank,selector,fold,selected_feature_count
token_length,0.73043496410433,1,correlation_pruned_top_40,1,40
base_C_count,0.7046411879553839,2,correlation_pruned_top_40,1,40
base_G_count,0.6803970766543654,3,correlation_pruned_top_40,1,40
rna_last_position,0.6720304173661572,4,correlation_pruned_top_40,1,40
rna_count_5p,0.6600332981826483,5,correlation_pruned_top_40,1,40
token_rG_count,0.6166342524398263,6,correlation_pruned_top_40,1,40
base_U_count,0.5864577470867293,7,correlation_pruned_top_40,1,40
token_rU_count,0.5844599982583938,8,correlation_pruned_top_40,1,40
modified_token_last_position,0.5350576972631536,9,correlation_pruned_top_40,1,40
modified_token_position_std,0.5245026503269881,10,correlation_pruned_top_40,1,40
methyl_position_std,0.495420644285051,11,correlation_pruned_top_40,1,40
star_mean_position,0.4927864118036575,12,correlation_pruned_top_40,1,40
rna_count_3p,0.4779521943736449,13,correlation_pruned_top_40,1,40
longest_rna_run,0.3906071472834183,14,correlation_pruned_top_40,1,40
longest_rC_run,0.38909720457517283,15,correlation_pruned_top_40,1,40
base_C_fraction,0.38727671952118414,16,correlation_pruned_top_40,1,40
max_gc_window_10,0.38669977309832887,17,correlation_pruned_top_40,1,40
token_rC_fraction,0.372067117013206,18,correlation_pruned_top_40,1,40
longest_rG_run,0.35673095590276493,19,correlation_pruned_top_40,1,40
longest_gc_run,0.3422981772759467,20,correlation_pruned_top_40,1,40
base_A_fraction,0.3261391973654233,21,correlation_pruned_top_40,1,40
token_rG_fraction,0.3007452986433361,22,correlation_pruned_top_40,1,40
base_G_fraction,0.29356769222993834,23,correlation_pruned_top_40,1,40
star_count_3p,0.263429965656359,24,correlation_pruned_top_40,1,40
rna_density_5p,0.2056349947191885,25,correlation_pruned_top_40,1,40
token_rA_fraction,0.20561773365079555,26,correlation_pruned_top_40,1,40
slash_mod_first_position,0.2013697788105281,27,correlation_pruned_top_40,1,40
star_mean_fraction,0.20052400691978778,28,correlation_pruned_top_40,1,40
star_density_5p,0.19239316012848162,29,correlation_pruned_top_40,1,40
star_density_middle,0.17333739079557522,30,correlation_pruned_top_40,1,40
slash_mod_first_fraction,0.1713583027589672,31,correlation_pruned_top_40,1,40
lna_position_std,0.17107899259026943,32,correlation_pruned_top_40,1,40
token_mA_fraction,0.16810499778654686,33,correlation_pruned_top_40,1,40
modified_token_mean_fraction,0.1653702960119246,34,correlation_pruned_top_40,1,40
longest_lna_run,0.16253888517175735,35,correlation_pruned_top_40,1,40
token_mU_fraction,0.15226924430213432,36,correlation_pruned_top_40,1,40
slash_mod_density_middle,0.15162476694163396,37,correlation_pruned_top_40,1,40
methyl_density_5p,0.15046549321131192,38,correlation_pruned_top_40,1,40
star_count,0.1434562063636444,39,correlation_pruned_top_40,1,40
token_rU_fraction,0.1398511270907354,40,correlation_pruned_top_40,1,40
modified_token_last_position,0.6566215778802849,1,mutual_info_top_40,1,40
token_length,0.6519359265006535,2,mutual_info_top_40,1,40
star_last_position,0.6360470894947148,3,mutual_info_top_40,1,40
base_length,0.6320682784749407,4,mutual_info_top_40,1,40
decorated_length,0.6307741108738831,5,mutual_info_top_40,1,40
rna_first_fraction,0.6094212167419366,6,mutual_info_top_40,1,40
star_position_std,0.6086804758558508,7,mutual_info_top_40,1,40
star_mean_position,0.6086490831569149,8,mutual_info_top_40,1,40
star_first_fraction,0.5992869817317135,9,mutual_info_top_40,1,40
methyl_last_position,0.5949401132077483,10,mutual_info_top_40,1,40
rna_mean_position,0.5904507055746593,11,mutual_info_top_40,1,40
rna_position_std,0.5863968047948278,12,mutual_info_top_40,1,40
modified_token_position_std,0.585908805982517,13,mutual_info_top_40,1,40
mod_density_5p,0.5750681563415796,14,mutual_info_top_40,1,40
rna_span_fraction,0.5725467965309794,15,mutual_info_top_40,1,40
methyl_position_std,0.5712942488832855,16,mutual_info_top_40,1,40
modified_token_mean_position,0.5612018290180134,17,mutual_info_top_40,1,40
modified_token_density_5p,0.5593875813927305,18,mutual_info_top_40,1,40
mod_density_3p,0.5568028902284912,19,mutual_info_top_40,1,40
