model,class_label,support,predicted_count,precision,recall,specificity,f1,true_positive,false_positive,false_negative,true_negative
bayesian_ridge,Fail,84,50,0.16,0.09523809523809523,0.98359375,0.11940298507462685,8,42,76,2518
bayesian_ridge,Pass,2560,2594,0.9707016191210486,0.98359375,0.09523809523809523,0.977105161039969,2518,76,42,8
elastic_net,Fail,84,48,0.16666666666666666,0.09523809523809523,0.984375,0.12121212121212123,8,40,76,2520
elastic_net,Pass,2560,2596,0.9707241910631741,0.984375,0.09523809523809523,0.9775019394879751,2520,76,40,8
extra_trees,Fail,84,70,0.12857142857142856,0.10714285714285714,0.976171875,0.11688311688311688,9,61,75,2499
extra_trees,Pass,2560,2574,0.9708624708624709,0.976171875,0.10714285714285714,0.9735099337748344,2499,75,61,9
gradient_boosting,Fail,84,59,0.11864406779661017,0.08333333333333333,0.9796875,0.09790209790209789,7,52,77,2508
gradient_boosting,Pass,2560,2585,0.9702127659574468,0.9796875,0.08333333333333333,0.974927113702624,2508,77,52,7
hist_gradient_boosting,Fail,84,80,0.125,0.11904761904761904,0.97265625,0.12195121951219512,10,70,74,2490
hist_gradient_boosting,Pass,2560,2564,0.9711388455538221,0.97265625,0.11904761904761904,0.9718969555035128,2490,74,70,10
lasso,Fail,84,54,0.16666666666666666,0.10714285714285714,0.982421875,0.13043478260869565,9,45,75,2515
lasso,Pass,2560,2590,0.971042471042471,0.982421875,0.10714285714285714,0.9766990291262136,2515,75,45,9
mean_baseline,Fail,84,58,0.034482758620689655,0.023809523809523808,0.978125,0.028169014084507043,2,56,82,2504
mean_baseline,Pass,2560,2586,0.9682907965970611,0.978125,0.023809523809523808,0.9731830547998445,2504,82,56,2
random_forest,Fail,84,66,0.10606060606060606,0.08333333333333333,0.976953125,0.09333333333333332,7,59,77,2501
random_forest,Pass,2560,2578,0.9701318851823119,0.976953125,0.08333333333333333,0.9735305566368236,2501,77,59,7
ridge,Fail,84,50,0.16,0.09523809523809523,0.98359375,0.11940298507462685,8,42,76,2518
ridge,Pass,2560,2594,0.9707016191210486,0.98359375,0.09523809523809523,0.977105161039969,2518,76,42,8
