model,fold,rows,mae,rmse,r2,pearson_r,spearman_r,observed_mean,predicted_mean
mean_baseline,1,531,8.23777625130682,10.962781785706547,-0.00046959793601764055,,,75.99811676082862,76.23562676720076
ridge,1,531,4.500045889626159,6.553634150729618,0.6424582641890783,0.8029187521538056,0.7529945256041551,75.99811676082862,76.27979498799262
elastic_net,1,531,4.505713795490615,6.584528680893433,0.6390793388795712,0.8002495590707508,0.7561204087931417,75.99811676082862,76.34340378682055
lasso,1,531,4.459670498712789,6.51119583212804,0.6470738229905914,0.8055687706886546,0.7559834405868932,75.99811676082862,76.28914073423762
bayesian_ridge,1,531,4.511793226119876,6.5781976063606065,0.639773061144812,0.800993978614052,0.7541216355696003,75.99811676082862,76.30790910382267
hist_gradient_boosting,1,531,4.222367645996734,6.243903468137122,0.675455153604891,0.8226394186592596,0.7528500474788743,75.99811676082862,76.30894263204723
gradient_boosting,1,531,4.303976417016328,6.264771754878334,0.6732821498893051,0.8210373150838594,0.7475775933292016,75.99811676082862,76.21453699705906
random_forest,1,531,4.3237843615521445,6.464804997161946,0.6520849500044912,0.8078838369143059,0.7489461224409604,75.99811676082862,76.19551194551842
extra_trees,1,531,4.210006096705163,6.226832014025365,0.6772274034182323,0.8233797410329068,0.7718656962308563,75.99811676082862,76.26990970421781
mean_baseline,2,531,8.027710772802546,10.938035187707635,-0.003781159391982314,,,76.72504708097928,76.05372290292178
ridge,2,531,4.418504543971473,6.51101511969106,0.6443213350307382,0.8029051396715077,0.7164789737912038,76.72504708097928,76.75304561284426
elastic_net,2,531,4.457774549313219,6.548444322403549,0.6402202744500154,0.80014197769776,0.7095364835261486,76.72504708097928,76.69845752974939
lasso,2,531,4.415943462570241,6.499737485502501,0.6455523995931898,0.8036295197554396,0.7173694624318976,76.72504708097928,76.73869031691164
bayesian_ridge,2,531,4.430441630907695,6.53296456215081,0.6419192188185763,0.8013045601434486,0.711253805770701,76.72504708097928,76.72115806667186
hist_gradient_boosting,2,531,4.3105095631218715,6.239240295545509,0.6733942458201183,0.8206435098970519,0.7358978825302168,76.72504708097928,76.78214239978973
gradient_boosting,2,531,4.3774005077459766,6.322161067084643,0.6646552439090485,0.8153308009342412,0.7492842377596691,76.72504708097928,76.70709723543291
random_forest,2,531,4.36293324673382,6.35044819637662,0.661647676794963,0.8136401074220241,0.7422243024055684,76.72504708097928,76.72978117237975
extra_trees,2,531,4.267469129175357,6.2301161371315255,0.6743487927029197,0.8214921875334372,0.7480993626498136,76.72504708097928,76.76680811043948
mean_baseline,3,531,8.403365513471106,11.125061854575337,-1.4311975826242218e-05,,,76.15442561205273,76.19651272384542
ridge,3,531,5.219354313391171,22.78743566321655,-3.1955824292796935,0.35794984531511553,0.7525363565118232,76.15442561205273,75.29384639784703
elastic_net,3,531,4.204316688481776,5.987782898641833,0.7103100438003711,0.8429672292123381,0.7528052357889714,76.15442561205273,76.11988456892007
lasso,3,531,5.5024308142088625,32.31889058504608,-7.4394517678994205,0.27324765990854505,0.7680210090241709,76.15442561205273,74.70759209036697
bayesian_ridge,3,531,4.5316302891232585,9.574345621433364,0.2593388779646093,0.6652776611825485,0.7504286045175281,76.15442561205273,75.86297210135238
hist_gradient_boosting,3,531,3.9825322769858276,5.694244054299178,0.7380167647665199,0.8594060255057586,0.7722576036851388,76.15442561205273,76.03745186116134
