feature,random_forest_importance
star_position_std,0.02849792226223271
repeated_dinucleotide_count,0.027878434305778618
base_U_fraction,0.0215822130911488
base_G_fraction,0.02039621338018135
base_T_fraction,0.019863261108168506
token_rG_fraction,0.019258475602915773
rna_position_std,0.01874901124923579
purine_fraction,0.018581762910618728
modified_token_position_std,0.01834999180976998
token_rC_fraction,0.018136598402126426
base_A_fraction,0.017417711137710897
token_rA_fraction,0.01703335359882023
modified_token_mean_fraction,0.016933742422389184
base_C_fraction,0.016778188339995094
pyrimidine_fraction,0.016710976411130157
base_C_count,0.016050029620951808
rna_mean_position,0.0159864022431697
token_rU_fraction,0.01558590375196965
token_rG_count,0.0150625865312587
rna_mean_fraction,0.014927189561624365
au_fraction,0.014823307954730884
base_T_count,0.013665076049719395
base_U_count,0.013525793640272564
star_mean_fraction,0.013414118657771486
token_rC_count,0.01324630416516462
rna_last_position,0.013114651827684292
token_rU_count,0.012829460885627413
gc_fraction,0.012724635958906478
base_A_count,0.012645059087369723
base_G_count,0.012571405303179848
slash_mod_last_position,0.01248061543624824
rna_density_5p,0.011993182663855333
rna_count_3p,0.011910449327621
longest_rna_run,0.011847362920889469
token_rA_count,0.011777548525205244
mod_density_3p,0.011754857961570393
longest_rU_run,0.011030686294109453
modified_token_mean_position,0.010793799432306031
methyl_position_std,0.010779724046244145
star_mean_position,0.010568298881956146
rna_first_fraction,0.010382317207053064
rna_count_5p,0.01038136942421083
rna_count_middle,0.010324371283634408
methyl_mean_fraction,0.010278397542063784
decorated_length,0.009826294113929476
methyl_density_3p,0.00979294990953229
rna_span_fraction,0.009473416938146956
token_mG_fraction,0.00944607263073171
rna_last_fraction,0.008936946647113687
token_mC_fraction,0.008864282590979633
base_length,0.008787189691227515
star_density,0.00858658175149342
token_mU_fraction,0.008438408081172018
modified_token_density_5p,0.008391551394481578
rna_density_3p,0.007713691359128931
star_span_fraction,0.007702525204405683
modified_token_density_3p,0.007393794897751478
mod_density_5p,0.007103231498841019
modified_token_last_position,0.007083316522372997
token_length,0.006997981021010371
methyl_density_5p,0.0067455343952184214
star_last_fraction,0.006499555475437016
star_density_5p,0.0063637559391381245
methyl_last_position,0.006362942987325257
methyl_mean_position,0.006360112470552581
token_mA_fraction,0.006200050546855329
token_mC_count,0.006023192693767645
mod_density_middle,0.005942296310672481
max_gc_window_10,0.0058656285423684985
modified_token_density_middle,0.005731664047498444
terminal_gc_count,0.005680419826108451
star_first_fraction,0.005429234747948614
slash_mod_last_fraction,0.005242341845106322
rna_density_middle,0.0051161620443660825
star_last_position,0.005098550225486951
longest_homopolymer_run,0.005009152977667094
slash_mod_mean_position,0.00474443767632361
token_mA_count,0.004608924486058447
longest_mG_run,0.004358490288722651
slash_mod_mean_fraction,0.004295802947728852
modified_token_count_3p,0.004255931511112138
star_density_3p,0.004199052593397323
token_mU_count,0.004114798273799054
longest_gc_run,0.003945414316273584
token_mG_count,0.003852654600933288
longest_rG_run,0.0036865907367311674
slash_mod_first_position,0.003475632326195498
longest_rA_run,0.0034666186278327665
methyl_count_3p,0.003430819939879864
slash_mod_first_fraction,0.0032344688411020217
star_density_middle,0.0028966248863515716
longest_methyl_run,0.00276561772892605
star_count_middle,0.002554653318431907
modified_token_count_5p,0.002547252345284704
modified_token_count_middle,0.0023226536061907365
modified_token_last_fraction,0.0023075353573621103
star_count,0.002290355180756114
slash_mod_span_fraction,0.0021472351573510328
modified_token_span_fraction,0.0019887016850192374
slash_mod_count_3p,0.0019555569595987223
slash_mod_position_std,0.0019472074276243457
rna_first_position,0.001926421226933463
methyl_span_fraction,0.001892469409310164
longest_rC_run,0.0018434794932086695
slash_mod_density_3p,0.0017110989295304564
methyl_density_middle,0.0016753431480335049
longest_mA_run,0.0014232052185263126
methyl_count_5p,0.0014064134673248932
slash_mod_count,0.0013977770026323206
longest_mC_run,0.0013778858414374125
slash_mod_density_5p,0.0012947219764993115
lna_mean_position,0.0012704945666082137
methyl_last_fraction,0.0011736015503719427
methyl_count_middle,0.001064523633592008
longest_modified_token_run,0.0009508925927849226
methyl_first_fraction,0.0008755528634549098
slash_mod_density_middle,0.0007914403040978715
longest_slash_mod_run,0.0007858506126522883
lna_count_middle,0.0007654670493855122
star_count_3p,0.0005818591596330952
lna_first_fraction,0.00046763437396026757
slash_mod_count_middle,0.00042916439529873076
lna_mean_fraction,0.00040589022807856667
star_count_5p,0.00037481570353119025
has_slash_mod,0.0003006764179118097
lna_first_position,0.0002760569621897869
modified_token_first_fraction,0.00026848238079023095
star_first_position,0.00026011321304690284
slash_mod_count_5p,0.00024002730588328406
modified_token_first_position,0.00021707586235391056
longest_mU_run,0.0001796531647904803
methyl_first_position,0.0001272895807339538
longest_lna_run,0.0
unknown_char_fraction,0.0
longest_star_run,0.0
unknown_char_count,0.0
terminal_star_count,0.0
longest_lT_run,0.0
token_lT_fraction,0.0
token_lT_count,0.0
longest_lU_run,0.0
token_lA_fraction,0.0
token_lA_count,0.0
longest_lA_run,0.0
token_lG_count,0.0
token_lU_fraction,0.0
token_lU_count,0.0
longest_lG_run,0.0
token_lG_fraction,0.0
token_lC_count,0.0
token_lC_fraction,0.0
longest_lC_run,0.0
lna_last_position,0.0
lna_count_5p,0.0
lna_span_fraction,0.0
lna_position_std,0.0
lna_last_fraction,0.0
lna_density_3p,0.0
lna_density_middle,0.0
lna_density_5p,0.0
lna_count_3p,0.0
