feature_set,model,fold,rows,failures,average_precision,pr_auc,roc_auc,brier_score,f1_score,recall_at_precision_25,recall_at_precision_50,recall_at_precision_75,precision_top_01,precision_top_05,precision_top_10,threshold_0_5_tn,threshold_0_5_fp,threshold_0_5_fn,threshold_0_5_tp
full,full_prevalence_baseline,1,531,32,0.060263653483992465,0.060263653483992465,0.5,0.0566329441652118,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.018518518518518517,499,0,32,0
full,full_rule_baseline,1,531,32,0.16098694769955618,0.16098694769955618,0.7415142785571143,0.15830167537911605,0.2692307692307692,0.25,0.0,0.0,0.0,0.2962962962962963,0.14814814814814814,486,13,25,7
full,full_logistic_l2_balanced,1,531,32,0.2237051819477292,0.2237051819477292,0.7453657314629258,0.17685687482016196,0.24338624338624337,0.46875,0.0,0.0,0.0,0.37037037037037035,0.2777777777777778,365,134,9,23
full,full_logistic_l1_balanced,1,531,32,0.22360198638164053,0.22360198638164053,0.7470566132264529,0.17682346835469012,0.23711340206185566,0.46875,0.0,0.0,0.0,0.37037037037037035,0.25925925925925924,360,139,9,23
full,full_elastic_net_logistic,1,531,32,0.2240545277875012,0.2240545277875012,0.7443011022044087,0.17886642843336528,0.23834196891191708,0.4375,0.0,0.0,0.0,0.37037037037037035,0.25925925925925924,361,138,9,23
full,full_linear_svm_rbf_calibrated_probability,1,531,32,0.31472117679771916,0.31472117679771916,0.8094626753507014,0.05238005494485421,0.0,0.40625,0.21875,0.1875,0.6666666666666666,0.2962962962962963,0.24074074074074073,499,0,32,0
full,full_hist_gradient_boosting,1,531,32,0.48578599691731494,0.48578599691731494,0.8424661823647294,0.042940607470576805,0.36363636363636365,0.65625,0.46875,0.25,1.0,0.5185185185185185,0.3148148148148148,495,4,24,8
full,full_balanced_random_forest,1,531,32,0.43747397090601065,0.43747397090601065,0.8484782064128256,0.11051229584072148,0.42,0.8125,0.3125,0.15625,0.8333333333333334,0.4444444444444444,0.3148148148148148,452,47,11,21
full,full_elastic_net_logistic_with_char_ngrams,1,531,32,0.210214138416235,0.210214138416235,0.7503131262525051,0.19400117674854092,0.24489795918367346,0.375,0.0,0.0,0.0,0.37037037037037035,0.2222222222222222,359,140,8,24
full,full_lightgbm_balanced,1,531,32,0.44008312496824525,0.44008312496824525,0.8278431863727456,0.09447874136341845,0.33663366336633666,0.71875,0.34375,0.21875,1.0,0.4444444444444444,0.24074074074074073,447,52,15,17
full,full_xgboost_weighted,1,531,32,0.42716374087227216,0.42716374087227216,0.8372369739478959,0.18510980904102325,0.2751322751322751,0.71875,0.375,0.15625,0.8333333333333334,0.48148148148148145,0.3333333333333333,368,131,6,26
full,full_prevalence_baseline,2,531,33,0.062146892655367235,0.062146892655367235,0.5,0.05828649291968898,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.05555555555555555,498,0,33,0
full,full_rule_baseline,2,531,33,0.1348907532901099,0.1348907532901099,0.6741511500547646,0.15807172076735626,0.1509433962264151,0.24242424242424243,0.0,0.0,0.0,0.2962962962962963,0.16666666666666666,482,16,29,4
full,full_logistic_l2_balanced,2,531,33,0.3148239462853019,0.3148239462853019,0.7018072289156627,0.16728167816583636,0.21518987341772153,0.3333333333333333,0.21212121212121213,0.21212121212121213,0.8333333333333334,0.3333333333333333,0.2222222222222222,390,108,16,17
full,full_logistic_l1_balanced,2,531,33,0.32278275387080335,0.32278275387080335,0.7418461725690642,0.1629818732256944,0.21951219512195122,0.48484848484848486,0.21212121212121213,0.18181818181818182,0.6666666666666666,0.3333333333333333,0.24074074074074073,385,113,15,18
full,full_elastic_net_logistic,2,531,33,0.31239942243397606,0.31239942243397606,0.7186016794450529,0.16721330901920883,0.20987654320987653,0.3333333333333333,0.21212121212121213,0.21212121212121213,0.6666666666666666,0.3333333333333333,0.2222222222222222,386,112,16,17
full,full_linear_svm_rbf_calibrated_probability,2,531,33,0.3099427458191192,0.3099427458191192,0.7235913350371181,0.05587646489754076,0.0,0.30303030303030304,0.21212121212121213,0.18181818181818182,0.8333333333333334,0.25925925925925924,0.2037037037037037,498,0,33,0
full,full_hist_gradient_boosting,2,531,33,0.3413565422773369,0.3413565422773369,0.7350310332238043,0.04995018959569096,0.2926829268292683,0.36363636363636365,0.24242424242424243,0.21212121212121213,0.8333333333333334,0.37037037037037035,0.2222222222222222,496,2,27,6
full,full_balanced_random_forest,2,531,33,0.30103604227743475,0.30103604227743475,0.7340574418887673,0.10632401514563962,0.29357798165137616,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.5,0.3333333333333333,0.2222222222222222,438,60,17,16
full,full_elastic_net_logistic_with_char_ngrams,2,531,33,0.2514422250014865,0.2514422250014865,0.6609772423025435,0.17697742914689552,0.1925133689839572,0.24242424242424243,0.21212121212121213,0.09090909090909091,0.5,0.25925925925925924,0.14814814814814814,362,136,15,18
full,full_lightgbm_balanced,2,531,33,0.3366627036162631,0.3366627036162631,0.7124558841426312,0.09534411738348791,0.2765957446808511,0.3939393939393939,0.3333333333333333,0.18181818181818182,0.8333333333333334,0.4074074074074074,0.24074074074074073,450,48,20,13
full,full_xgboost_weighted,2,531,33,0.3031026376901551,0.3031026376901551,0.7341791408056468,0.17480504512786865,0.2389937106918239,0.42424242424242425,0.2727272727272727,0.09090909090909091,0.5,0.37037037037037035,0.25925925925925924,391,107,14,19
full,full_prevalence_baseline,3,531,32,0.060263653483992465,0.060263653483992465,0.5,0.0566329441652118,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,499,0,32,0
full,full_rule_baseline,3,531,32,0.09052592198602023,0.09052592198602023,0.6087174348697394,0.16289139213440135,0.0784313725490196,0.0,0.0,0.0,0.0,0.07407407407407407,0.07407407407407407,482,17,30,2
full,full_logistic_l2_balanced,3,531,32,0.3108868468368688,0.3108868468368688,0.8216745991983969,0.13379446407041198,0.32857142857142857,0.625,0.0625,0.0,0.3333333333333333,0.37037037037037035,0.3333333333333333,414,85,9,23
full,full_logistic_l1_balanced,3,531,32,0.29631320116494514,0.29631320116494514,0.8196079659318638,0.13292576763480032,0.32167832167832167,0.59375,0.09375,0.0,0.5,0.37037037037037035,0.3333333333333333,411,88,9,23
full,full_elastic_net_logistic,3,531,32,0.30741774462506305,0.30741774462506305,0.8174160821643286,0.1364026011231819,0.32167832167832167,0.59375,0.21875,0.0,0.3333333333333333,0.37037037037037035,0.3333333333333333,411,88,9,23
full,full_linear_svm_rbf_calibrated_probability,3,531,32,0.21505598984744018,0.21505598984744018,0.790174098196393,0.0527579700080683,0.0,0.5,0.0,0.0,0.16666666666666666,0.2962962962962963,0.2777777777777778,499,0,32,0
full,full_hist_gradient_boosting,3,531,32,0.35481731265147926,0.35481731265147926,0.7778995490981964,0.046039372925796046,0.391304347826087,0.5625,0.53125,0.0,0.5,0.5555555555555556,0.3148148148148148,494,5,23,9
full,full_balanced_random_forest,3,531,32,0.30007038975537226,0.30007038975537226,0.7751440380761523,0.09965072971068598,0.37623762376237624,0.625,0.3125,0.0,0.3333333333333333,0.4074074074074074,0.2777777777777778,449,50,13,19
full,full_elastic_net_logistic_with_char_ngrams,3,531,32,0.31418140455062277,0.31418140455062277,0.797939629258517,0.15511738533108405,0.26436781609195403,0.53125,0.25,0.03125,0.3333333333333333,0.4074074074074074,0.2777777777777778,380,119,9,23
full,full_lightgbm_balanced,3,531,32,0.3435466855239768,0.3435466855239768,0.764873496993988,0.08748916463419175,0.4,0.59375,0.53125,0.0,0.3333333333333333,0.5555555555555556,0.3148148148148148,455,44,13,19
full,full_xgboost_weighted,3,531,32,0.3369899864988507,0.3369899864988507,0.7799035571142285,0.16805925965309143,0.25149700598802394,0.5625,0.5,0.0,0.5,0.5185185185185185,0.2962962962962963,385,114,11,21
full,full_prevalence_baseline,4,531,33,0.062146892655367235,0.062146892655367235,0.5,0.05828649291968899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498,0,33,0
full,full_rule_baseline,4,531,33,0.18296106251735714,0.18296106251735714,0.7137337227698675,0.16707078422010985,0.2608695652173913,0.3333333333333333,0.030303030303030304,0.0,0.16666666666666666,0.2962962962962963,0.2037037037037037,471,27,24,9
full,full_logistic_l2_balanced,4,531,33,0.3220757726581449,0.3220757726581449,0.7694718267007424,0.15957650847223173,0.3137254901960784,0.5454545454545454,0.21212121212121213,0.15151515151515152,0.8333333333333334,0.3333333333333333,0.2962962962962963,402,96,9,24
full,full_logistic_l1_balanced,4,531,33,0.331733041493387,0.331733041493387,0.7698977729098212,0.15919309073067708,0.3096774193548387,0.5757575757575758,0.21212121212121213,0.15151515151515152,0.8333333333333334,0.37037037037037035,0.2962962962962963,400,98,9,24
full,full_elastic_net_logistic,4,531,33,0.3034250559846534,0.3034250559846534,0.7632043324814408,0.16067882046309703,0.3037974683544304,0.5757575757575758,0.21212121212121213,0.0,0.6666666666666666,0.3333333333333333,0.2777777777777778,397,101,9,24
full,full_linear_svm_rbf_calibrated_probability,4,531,33,0.3476828220375978,0.3476828220375978,0.8516490203237191,0.05441861622602221,0.0,0.5454545454545454,0.36363636363636365,0.030303030303030304,0.5,0.4444444444444444,0.2962962962962963,498,0,33,0
full,full_hist_gradient_boosting,4,531,33,0.41879768389952676,0.41879768389952676,0.7813070463672873,0.04677156220366036,0.2916666666666667,0.6363636363636364,0.45454545454545453,0.09090909090909091,0.6666666666666666,0.48148148148148145,0.37037037037037035,490,8,26,7
full,full_balanced_random_forest,4,531,33,0.407035138673009,0.407035138673009,0.8013873676524279,0.10391178536106936,0.3853211009174312,0.6363636363636364,0.48484848484848486,0.09090909090909091,0.5,0.5185185185185185,0.35185185185185186,443,55,12,21
full,full_elastic_net_logistic_with_char_ngrams,4,531,33,0.4076927855718324,0.4076927855718324,0.7621090422295242,0.17737094223568414,0.2513089005235602,0.5151515151515151,0.3939393939393939,0.21212121212121213,0.8333333333333334,0.48148148148148145,0.2962962962962963,364,134,9,24
full,full_lightgbm_balanced,4,531,33,0.3964532375227451,0.3964532375227451,0.7706583911403189,0.10028830876930067,0.3619047619047619,0.5757575757575758,0.45454545454545453,0.09090909090909091,0.5,0.5555555555555556,0.3333333333333333,445,53,14,19
full,full_xgboost_weighted,4,531,33,0.3834082649014003,0.3834082649014003,0.7647559936716563,0.1796669363975525,0.24083769633507854,0.6363636363636364,0.48484848484848486,0.06060606060606061,0.5,0.5925925925925926,0.3333333333333333,363,135,10,23
full,full_prevalence_baseline,5,529,32,0.06049149338374291,0.06049149338374291,0.5,0.05683278209338755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497,0,32,0
full,full_rule_baseline,5,529,32,0.11627720334287907,0.11627720334287907,0.6573503521126761,0.1653288894905139,0.16666666666666666,0.0,0.0,0.0,0.0,0.18518518518518517,0.11320754716981132,474,23,27,5
