dropped_feature,retained_feature,absolute_correlation,dropped_target_association,retained_target_association
base_C_count,token_rC_count,0.9116329725606894,0.1942695712610812,0.19704087271418153
decorated_length,token_length,0.9865115349928083,0.19402504121626962,0.1945925998990015
base_length,token_length,0.9926085358833575,0.19128026069144685,0.1945925998990015
rna_mean_position,token_length,0.9078169163502428,0.1901172017387872,0.1945925998990015
rna_count_5p,rna_count_middle,0.9235746998505111,0.18781967471481315,0.19180046184806798
rna_position_std,token_length,0.9105606505271854,0.18553554387744278,0.1945925998990015
token_rG_count,token_rC_count,0.9076725530234719,0.1549171372706534,0.19704087271418153
lna_span_fraction,lna_position_std,0.9990261827499906,0.13874841990433204,0.13907523556561074
token_lT_fraction,lna_position_std,0.9475834543607571,0.1357737017606548,0.13907523556561074
token_lT_count,lna_position_std,0.9230722439893676,0.1350400124687023,0.13907523556561074
token_lA_fraction,lna_position_std,0.9602483244820308,0.1328311905931098,0.13907523556561074
token_lA_count,lna_position_std,0.9439852888115168,0.13252108285077305,0.13907523556561074
lna_density_middle,lna_position_std,0.9449838318365948,0.1302117903403272,0.13907523556561074
lna_count_middle,lna_position_std,0.9191964786700321,0.1287496993322207,0.13907523556561074
longest_lT_run,lna_position_std,0.9395472731320064,0.12461511784524977,0.13907523556561074
modified_token_last_position,modified_token_mean_position,0.9392153905325678,0.11414355956907256,0.11699236430603778
base_U_count,base_T_count,1.0,0.11040427334678753,0.11040427334678753
methyl_mean_position,star_mean_position,0.942073036759709,0.10440006310614948,0.10838769679768519
token_lG_fraction,longest_lna_run,0.9171383969303044,0.1034688069815617,0.12255176042173699
token_lG_count,longest_lna_run,0.9059211282476839,0.10081549275094198,0.12255176042173699
longest_lA_run,longest_lna_run,0.9122343913402614,0.10081549275094175,0.12255176042173699
gc_fraction,base_C_fraction,0.9147016258684094,0.09608016585980508,0.11452754879953515
au_fraction,base_C_fraction,0.9147016258684093,0.09608016585980506,0.11452754879953515
methyl_last_position,star_mean_position,0.9653312347226487,0.09472187690093628,0.10838769679768519
star_last_position,star_mean_position,0.9783648907943336,0.0925588502934103,0.10838769679768519
star_position_std,star_mean_position,0.9549707271632206,0.0804406744732247,0.10838769679768519
token_mU_count,token_mU_fraction,0.9702076898383799,0.0782608757139611,0.09679322953897795
star_first_position,methyl_first_position,0.9973361471110554,0.07802914108021144,0.07907646292349953
lna_mean_fraction,lna_last_fraction,0.9991614767550095,0.07712796040467228,0.08175923744778328
lna_last_position,lna_last_fraction,0.9823346174112549,0.07547882444394756,0.08175923744778328
lna_first_fraction,lna_last_fraction,0.9983075286279811,0.07500295991625058,0.08175923744778328
modified_token_density_5p,methyl_density_5p,0.9438785760553863,0.06700469407108495,0.06730874657548529
mod_density_5p,methyl_density_5p,0.9438785760553863,0.06700469407108495,0.06730874657548529
lna_mean_position,lna_last_fraction,0.9687026315621132,0.06256118413109298,0.08175923744778328
token_mA_fraction,longest_methyl_run,0.9302090914250963,0.060657332828195576,0.06582149330375343
token_mC_fraction,longest_methyl_run,0.9280541389910318,0.057213857288957365,0.06582149330375343
lna_first_position,lna_last_fraction,0.9566638579278769,0.05578597983519722,0.08175923744778328
methyl_density_3p,longest_methyl_run,0.952716853634871,0.05534311316834752,0.06582149330375343
methyl_count_middle,methyl_density_middle,0.9735654868318672,0.054079520672379575,0.058836643667596236
rna_density_3p,longest_methyl_run,0.9427024159828022,0.053725754058021026,0.06582149330375343
mod_density_3p,longest_methyl_run,0.9509354268909537,0.051627494307393704,0.06582149330375343
modified_token_density_3p,longest_methyl_run,0.9509354268909537,0.051627494307393704,0.06582149330375343
token_lC_count,token_lC_fraction,0.9993832484908749,0.05094768696697074,0.05517202072624291
longest_mA_run,longest_methyl_run,0.9412065756051474,0.050446657697223986,0.06582149330375343
base_U_fraction,base_T_fraction,1.0,0.047482171902580424,0.047482171902580424
rna_density_middle,methyl_density_middle,0.9222767402792029,0.047090626166093774,0.058836643667596236
token_mC_count,longest_methyl_run,0.9103664239704555,0.04690268015424489,0.06582149330375343
token_mA_count,longest_methyl_run,0.9299745403405089,0.04602755732529195,0.06582149330375343
modified_token_density_middle,methyl_density_middle,0.9765838827734662,0.045675058553715925,0.058836643667596236
mod_density_middle,methyl_density_middle,0.9765838827734662,0.045675058553715925,0.058836643667596236
methyl_count_3p,longest_methyl_run,0.957424189698641,0.04435947471126354,0.06582149330375343
purine_fraction,base_A_fraction,0.9415622961771469,0.043431925028674795,0.05345792966729404
pyrimidine_fraction,base_A_fraction,0.9415622961771472,0.04343192502867472,0.05345792966729404
token_mG_fraction,longest_methyl_run,0.9401297941768523,0.043219260626936984,0.06582149330375343
base_A_count,token_rA_count,0.9329353467943101,0.04199894123490775,0.05633293055050108
longest_modified_token_run,longest_methyl_run,0.9765127380789848,0.03967281370488678,0.06582149330375343
modified_token_count_middle,methyl_density_middle,0.9550335424264536,0.03824036879842485,0.058836643667596236
star_density,star_density_5p,0.9564010085294696,0.03726652167814006,0.05508054228543647
longest_homopolymer_run,longest_rA_run,0.9325014495852494,0.03613527867039919,0.04220752390511579
slash_mod_density_5p,slash_mod_count_5p,0.9140863714766316,0.031719595205125316,0.03534202616175691
modified_token_count_3p,longest_methyl_run,0.9523155656493877,0.03164205971058273,0.06582149330375343
rna_last_fraction,rna_span_fraction,0.9333639665557215,0.031065643358907068,0.04429090952496704
methyl_count_5p,methyl_density_5p,0.9388250017153633,0.028133057884637148,0.06730874657548529
token_mG_count,longest_methyl_run,0.9375493236784449,0.027434325375884583,0.06582149330375343
token_rA_fraction,base_A_fraction,0.9010820415236604,0.02245128578886242,0.05345792966729404
star_count_5p,star_density_5p,0.9267304235693213,0.01586173475029813,0.05508054228543647
