feature_set,model,fold,rows,failures,average_precision,pr_auc,roc_auc,brier_score,f1_score,recall_at_precision_25,recall_at_precision_50,recall_at_precision_75,precision_top_01,precision_top_05,precision_top_10,threshold_0_5_tn,threshold_0_5_fp,threshold_0_5_fn,threshold_0_5_tp
correlation_reduced,correlation_reduced_hist_gradient_boosting,overall_oof,2653,162,0.4082372107839144,0.4082372107839144,0.7718985880032314,0.04556280923016644,0.3466666666666667,0.5123456790123457,0.38271604938271603,0.2037037037037037,0.8518518518518519,0.47368421052631576,0.3007518796992481,2467,24,123,39
full,full_hist_gradient_boosting,overall_oof,2653,162,0.4054349823623954,0.4054349823623954,0.7740668877093337,0.04542731874154308,0.35454545454545455,0.5617283950617284,0.36419753086419754,0.19135802469135801,0.8518518518518519,0.45864661654135336,0.3082706766917293,2472,19,123,39
correlation_reduced,correlation_reduced_lightgbm_balanced,overall_oof,2653,162,0.37389202521869735,0.37389202521869735,0.7640865139192452,0.09612621675712953,0.35918367346938773,0.5555555555555556,0.345679012345679,0.1419753086419753,0.7777777777777778,0.44360902255639095,0.31203007518796994,2251,240,74,88
full,full_balanced_random_forest,overall_oof,2653,162,0.3733790680186681,0.3733790680186681,0.7877730199087083,0.10364822716356285,0.3766990291262136,0.6234567901234568,0.345679012345679,0.09876543209876543,0.6296296296296297,0.44360902255639095,0.2932330827067669,2235,256,65,97
correlation_reduced,correlation_reduced_xgboost_weighted,overall_oof,2653,162,0.3733237502336994,0.3733237502336994,0.7724747362108529,0.18314208895487188,0.25,0.6358024691358025,0.3888888888888889,0.09876543209876543,0.6666666666666666,0.47368421052631576,0.2857142857142857,1855,636,48,114
full,full_lightgbm_balanced,overall_oof,2653,162,0.3726429306760917,0.3726429306760917,0.7681183123441921,0.09417844930089736,0.3431952662721893,0.5493827160493827,0.3888888888888889,0.11728395061728394,0.7037037037037037,0.48872180451127817,0.2894736842105263,2233,258,75,87
full,full_xgboost_weighted,overall_oof,2653,162,0.36994083358366836,0.36994083358366836,0.7758572837523727,0.17667951321671477,0.2533632286995516,0.6049382716049383,0.3950617283950617,0.09259259259259259,0.5555555555555556,0.48120300751879697,0.3007518796992481,1874,617,49,113
correlation_reduced,correlation_reduced_balanced_random_forest,overall_oof,2653,162,0.36300141052176654,0.36300141052176654,0.784734922263358,0.10922656470249899,0.3505535055350554,0.5864197530864198,0.345679012345679,0.09259259259259259,0.6296296296296297,0.44360902255639095,0.2857142857142857,2206,285,67,95
full,full_elastic_net_logistic,overall_oof,2653,162,0.27041930583062224,0.27041930583062224,0.770590174009149,0.15923483646673905,0.2740740740740741,0.5061728395061729,0.2037037037037037,0.006172839506172839,0.6296296296296297,0.38345864661654133,0.2706766917293233,1954,537,51,111
full,full_linear_svm_rbf_calibrated_probability,overall_oof,2653,162,0.27019910190409374,0.27019910190409374,0.7884643977578542,0.053531681675943375,0.0,0.49382716049382713,0.16666666666666666,0.0,0.6296296296296297,0.3308270676691729,0.2669172932330827,2491,0,162,0
full,full_logistic_l2_balanced,overall_oof,2653,162,0.269356832565743,0.269356832565743,0.7703274999876096,0.15793065526011787,0.2795969773299748,0.5061728395061729,0.2037037037037037,0.0,0.6296296296296297,0.37593984962406013,0.2706766917293233,1970,521,51,111
full,full_logistic_l1_balanced,overall_oof,2653,162,0.2685617354203047,0.2685617354203047,0.7790403477209312,0.1562760587825083,0.27832512315270935,0.5493827160493827,0.19753086419753085,0.0,0.6296296296296297,0.3458646616541353,0.2706766917293233,1954,537,49,113
correlation_reduced,correlation_reduced_logistic_l2_balanced,overall_oof,2653,162,0.26026191228056,0.26026191228056,0.7614263199369582,0.16509501015346142,0.26666666666666666,0.4691358024691358,0.12962962962962962,0.006172839506172839,0.5925925925925926,0.3609022556390977,0.2669172932330827,1938,553,52,110
correlation_reduced,correlation_reduced_elastic_net_logistic,overall_oof,2653,162,0.2598891946397984,0.2598891946397984,0.7645399983149215,0.164862596770748,0.26552984165651644,0.4691358024691358,0.11728395061728394,0.006172839506172839,0.5925925925925926,0.3609022556390977,0.2669172932330827,1941,550,53,109
correlation_reduced,correlation_reduced_linear_svm_rbf_calibrated_probability,overall_oof,2653,162,0.25552080108068487,0.25552080108068487,0.7820635770254398,0.05303403948758579,0.0,0.5185185185185185,0.09876543209876543,0.006172839506172839,0.5185185185185185,0.2857142857142857,0.2593984962406015,2491,0,162,0
correlation_reduced,correlation_reduced_logistic_l1_balanced,overall_oof,2653,162,0.25496962714782123,0.25496962714782123,0.7653119130102938,0.16488096739561287,0.2647412755716005,0.4876543209876543,0.12962962962962962,0.0,0.6296296296296297,0.3609022556390977,0.2669172932330827,1932,559,52,110
correlation_reduced,correlation_reduced_elastic_net_logistic_with_char_ngrams,overall_oof,2653,162,0.2545849754018982,0.2545849754018982,0.7518907573437213,0.1749863068625045,0.24390243902439024,0.4506172839506173,0.16666666666666666,0.0,0.5555555555555556,0.3684210526315789,0.2593984962406015,1825,666,47,115
full,full_elastic_net_logistic_with_char_ngrams,overall_oof,2653,162,0.25344092277438024,0.25344092277438024,0.749231802389838,0.17506241512062176,0.24145299145299146,0.4012345679012346,0.16049382716049382,0.0,0.6296296296296297,0.3684210526315789,0.24812030075187969,1830,661,49,113
full,full_rule_baseline,overall_oof,2653,162,0.12434404155507184,0.12434404155507184,0.6742086325586928,0.16233063382529367,0.18947368421052632,0.006172839506172839,0.006172839506172839,0.0,0.07407407407407407,0.23308270676691728,0.14285714285714285,2395,96,135,27
full,full_prevalence_baseline,overall_oof,2653,162,0.06060425591762471,0.06060425591762471,0.49605741162010397,0.05733470935226787,0.0,0.0,0.0,0.0,0.0,0.06766917293233082,0.041353383458646614,2491,0,162,0
correlation_reduced,correlation_reduced_prevalence_baseline,overall_oof,2653,162,0.06060425591762471,0.06060425591762471,0.49605741162010397,0.05733470935226787,0.0,0.0,0.0,0.0,0.0,0.06766917293233082,0.041353383458646614,2491,0,162,0
