id,decorated_length,token_length,base_length,unknown_char_count,unknown_char_fraction,slash_mod_count,has_slash_mod,star_count,star_density,terminal_star_count,mod_density_5p,mod_density_middle,mod_density_3p,gc_fraction,au_fraction,purine_fraction,pyrimidine_fraction,terminal_gc_count,longest_homopolymer_run,longest_gc_run,max_gc_window_10,repeated_dinucleotide_count,longest_star_run,longest_slash_mod_run,longest_methyl_run,longest_lna_run,longest_rna_run,longest_modified_token_run,base_A_count,base_A_fraction,base_C_count,base_C_fraction,base_G_count,base_G_fraction,base_U_count,base_U_fraction,base_T_count,base_T_fraction,token_rA_count,token_rA_fraction,longest_rA_run,token_rC_count,token_rC_fraction,longest_rC_run,token_rG_count,token_rG_fraction,longest_rG_run,token_rU_count,token_rU_fraction,longest_rU_run,token_mA_count,token_mA_fraction,longest_mA_run,token_mC_count,token_mC_fraction,longest_mC_run,token_mG_count,token_mG_fraction,longest_mG_run,token_mU_count,token_mU_fraction,longest_mU_run,token_lA_count,token_lA_fraction,longest_lA_run,token_lC_count,token_lC_fraction,longest_lC_run,token_lG_count,token_lG_fraction,longest_lG_run,token_lU_count,token_lU_fraction,longest_lU_run,token_lT_count,token_lT_fraction,longest_lT_run,star_first_position,star_last_position,star_mean_position,star_position_std,star_first_fraction,star_last_fraction,star_mean_fraction,star_span_fraction,star_count_5p,star_count_middle,star_count_3p,star_density_5p,star_density_middle,star_density_3p,slash_mod_first_position,slash_mod_last_position,slash_mod_mean_position,slash_mod_position_std,slash_mod_first_fraction,slash_mod_last_fraction,slash_mod_mean_fraction,slash_mod_span_fraction,slash_mod_count_5p,slash_mod_count_middle,slash_mod_count_3p,slash_mod_density_5p,slash_mod_density_middle,slash_mod_density_3p,methyl_first_position,methyl_last_position,methyl_mean_position,methyl_position_std,methyl_first_fraction,methyl_last_fraction,methyl_mean_fraction,methyl_span_fraction,methyl_count_5p,methyl_count_middle,methyl_count_3p,methyl_density_5p,methyl_density_middle,methyl_density_3p,lna_first_position,lna_last_position,lna_mean_position,lna_position_std,lna_first_fraction,lna_last_fraction,lna_mean_fraction,lna_span_fraction,lna_count_5p,lna_count_middle,lna_count_3p,lna_density_5p,lna_density_middle,lna_density_3p,rna_first_position,rna_last_position,rna_mean_position,rna_position_std,rna_first_fraction,rna_last_fraction,rna_mean_fraction,rna_span_fraction,rna_count_5p,rna_count_middle,rna_count_3p,rna_density_5p,rna_density_middle,rna_density_3p,modified_token_first_position,modified_token_last_position,modified_token_mean_position,modified_token_position_std,modified_token_first_fraction,modified_token_last_fraction,modified_token_mean_fraction,modified_token_span_fraction,modified_token_count_5p,modified_token_count_middle,modified_token_count_3p,modified_token_density_5p,modified_token_density_middle,modified_token_density_3p
591206723,206,106,100,0,0.0,0,0,6,0.05660377358490566,0,0.2857142857142857,0.22857142857142856,0.9722222222222222,0.44,0.56,0.51,0.49,1,5,3,0.7,6,1,0,29,0,28,35,27,0.27,20,0.2,24,0.24,29,0.29,29,0.29,14,0.1320754716981132,4,11,0.10377358490566038,3,10,0.09433962264150944,2,18,0.16981132075471697,4,13,0.12264150943396226,5,9,0.08490566037735849,2,14,0.1320754716981132,2,11,0.10377358490566038,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,104,52.5,49.52692870213806,0.009523809523809525,0.9904761904761905,0.5,0.9809523809523809,3,0,3,0.08571428571428572,0.0,0.08333333333333333,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,0,105,68.46808510638297,28.88336859577784,0.0,1.0,0.6520770010131711,1.0,7,8,32,0.2,0.22857142857142856,0.8888888888888888,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,6,70,38.339622641509436,20.697227410914486,0.05714285714285714,0.6666666666666666,0.3651392632524708,0.6095238095238096,25,27,1,0.7142857142857143,0.7714285714285715,0.027777777777777776,0,105,66.66037735849056,32.29693799156795,0.0,1.0,0.6348607367475292,1.0,10,8,35,0.2857142857142857,0.22857142857142856,0.9722222222222222
588916194,392,199,193,0,0.0,0,0,6,0.03015075376884422,0,0.09090909090909091,0.0,0.08955223880597014,0.46113989637305697,0.538860103626943,0.49740932642487046,0.5025906735751295,1,6,3,0.8,15,1,0,1,0,187,6,50,0.25906735751295334,43,0.22279792746113988,46,0.23834196891191708,54,0.27979274611398963,54,0.27979274611398963,49,0.24623115577889448,5,42,0.21105527638190955,3,45,0.22613065326633167,3,51,0.2562814070351759,4,1,0.005025125628140704,1,1,0.005025125628140704,1,1,0.005025125628140704,1,3,0.01507537688442211,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,197,99.0,96.01388788434028,0.005050505050505051,0.9949494949494949,0.5,0.98989898989899,3,0,3,0.045454545454545456,0.0,0.04477611940298507,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,0,198,99.0,97.01374473066518,0.0,1.0,0.5,1.0,3,0,3,0.045454545454545456,0.0,0.04477611940298507,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,6,192,99.0,53.98147830506312,0.030303030303030304,0.9696969696969697,0.5,0.9393939393939394,60,66,61,0.9090909090909091,1.0,0.9104477611940298,0,198,99.0,96.51511107938832,0.0,1.0,0.5,1.0,6,0,6,0.09090909090909091,0.0,0.08955223880597014
588916195,368,187,181,0,0.0,0,0,6,0.03208556149732621,0,0.0967741935483871,0.0,0.09523809523809523,0.46408839779005523,0.5359116022099447,0.4972375690607735,0.5027624309392266,1,6,3,0.8,15,1,0,1,0,175,6,47,0.2596685082872928,41,0.2265193370165746,43,0.23756906077348067,50,0.27624309392265195,50,0.27624309392265195,46,0.24598930481283424,5,40,0.21390374331550802,3,42,0.22459893048128343,3,47,0.25133689839572193,4,1,0.0053475935828877,1,1,0.0053475935828877,1,1,0.0053475935828877,1,3,0.016042780748663103,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,185,93.0,90.01481359568916,0.005376344086021506,0.9946236559139785,0.5,0.989247311827957,3,0,3,0.04838709677419355,0.0,0.047619047619047616,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,0,186,93.0,91.01465083527303,0.0,1.0,0.5,1.0,3,0,3,0.04838709677419355,0.0,0.047619047619047616,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,6,180,93.0,50.51732376126036,0.03225806451612903,0.967741935483871,0.5,0.9354838709677419,56,62,57,0.9032258064516129,1.0,0.9047619047619048,0,186,93.0,90.51611274611093,0.0,1.0,0.5,1.0,6,0,6,0.0967741935483871,0.0,0.09523809523809523
593821265,140,73,67,0,0.0,0,0,6,0.0821917808219178,0,0.25,0.0,0.24,0.417910447761194,0.582089552238806,0.5671641791044776,0.43283582089552236,0,5,2,0.7,3,1,0,1,0,61,6,22,0.3283582089552239,12,0.1791044776119403,16,0.23880597014925373,17,0.2537313432835821,17,0.2537313432835821,21,0.2876712328767123,5,11,0.1506849315068493,2,15,0.2054794520547945,2,14,0.1917808219178082,2,1,0.0136986301369863,1,1,0.0136986301369863,1,1,0.0136986301369863,1,3,0.0410958904109589,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,71,36.0,33.04037933599835,0.013888888888888888,0.9861111111111112,0.5,0.9722222222222222,3,0,3,0.125,0.0,0.12,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,0,72,36.0,34.03919309658598,0.0,1.0,0.5,1.0,3,0,3,0.125,0.0,0.12,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,6,66,36.0,17.60681686165901,0.08333333333333333,0.9166666666666666,0.5,0.8333333333333334,18,24,19,0.75,1.0,0.76,0,72,36.0,33.5435040904594,0.0,1.0,0.5,1.0,6,0,6,0.25,0.0,0.24
594624328,250,128,122,0,0.0,0,0,6,0.046875,0,0.14285714285714285,0.11627906976744186,0.13953488372093023,0.5327868852459017,0.4672131147540984,0.47540983606557374,0.5245901639344263,0,4,4,0.8,12,1,0,5,0,59,6,25,0.20491803278688525,32,0.26229508196721313,33,0.27049180327868855,32,0.26229508196721313,32,0.26229508196721313,24,0.1875,3,28,0.21875,4,33,0.2578125,4,26,0.203125,3,1,0.0078125,1,4,0.03125,1,0,0.0,0,6,0.046875,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,126,63.5,60.522034554917816,0.007874015748031496,0.9921259842519685,0.5,0.984251968503937,3,0,3,0.07142857142857142,0.0,0.06976744186046512,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,0,127,65.0909090909091,45.48017459280181,0.0,1.0,0.5125268432355047,1.0,3,5,3,0.07142857142857142,0.11627906976744186,0.06976744186046512,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,6,121,63.34234234234234,34.221192394886636,0.047244094488188976,0.952755905511811,0.49875860112080583,0.905511811023622,36,38,37,0.8571428571428571,0.8837209302325582,0.8604651162790697,0,127,64.52941176470588,51.30086302113058,0.0,1.0,0.508105604446503,1.0,6,5,6,0.14285714285714285,0.11627906976744186,0.13953488372093023
594624327,250,128,122,0,0.0,0,0,6,0.046875,0,0.14285714285714285,0.06976744186046512,0.13953488372093023,0.5327868852459017,0.4672131147540984,0.47540983606557374,0.5245901639344263,0,4,4,0.8,12,1,0,3,0,58,6,25,0.20491803278688525,32,0.26229508196721313,33,0.27049180327868855,32,0.26229508196721313,32,0.26229508196721313,23,0.1796875,3,31,0.2421875,4,31,0.2421875,4,28,0.21875,3,2,0.015625,1,1,0.0078125,1,2,0.015625,2,4,0.03125,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,126,63.5,60.522034554917816,0.007874015748031496,0.9921259842519685,0.5,0.984251968503937,3,0,3,0.07142857142857142,0.0,0.06976744186046512,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,0,127,63.0,50.23942674832188,0.0,1.0,0.49606299212598426,1.0,3,3,3,0.07142857142857142,0.06976744186046512,0.06976744186046512,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,6,121,63.53982300884956,33.92548716842091,0.047244094488188976,0.952755905511811,0.5003135669988155,0.905511811023622,36,40,37,0.8571428571428571,0.9302325581395349,0.8604651162790697,0,127,63.2,54.585956679961804,0.0,1.0,0.4976377952755906,1.0,6,3,6,0.14285714285714285,0.06976744186046512,0.13953488372093023
594624334,250,128,122,0,0.0,0,0,6,0.046875,0,0.14285714285714285,0.0,0.27906976744186046,0.5327868852459017,0.4672131147540984,0.47540983606557374,0.5245901639344263,0,4,4,0.8,12,1,0,6,0,110,12,25,0.20491803278688525,32,0.26229508196721313,33,0.27049180327868855,32,0.26229508196721313,32,0.26229508196721313,23,0.1796875,3,27,0.2109375,3,33,0.2578125,4,27,0.2109375,3,2,0.015625,1,5,0.0390625,4,0,0.0,0,5,0.0390625,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,126,63.5,60.522034554917816,0.007874015748031496,0.9921259842519685,0.5,0.984251968503937,3,0,3,0.07142857142857142,0.0,0.06976744186046512,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,0,127,91.0,51.479769489253414,0.0,1.0,0.7165354330708661,1.0,3,0,9,0.07142857142857142,0.0,0.20930232558139536,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,6,115,60.5,31.752952618614856,0.047244094488188976,0.905511811023622,0.4763779527559055,0.8582677165354331,36,43,31,0.8571428571428571,1.0,0.7209302325581395,0,127,81.83333333333333,56.17655699271321,0.0,1.0,0.6443569553805774,1.0,6,0,12,0.14285714285714285,0.0,0.27906976744186046
594624349,270,128,117,0,0.0,5,1,6,0.046875,0,0.14285714285714285,0.18604651162790697,0.13953488372093023,0.5299145299145299,0.4700854700854701,0.49572649572649574,0.5042735042735043,0,4,4,0.8,9,1,5,3,0,55,6,25,0.21367521367521367,29,0.24786324786324787,33,0.28205128205128205,30,0.2564102564102564,30,0.2564102564102564,23,0.1796875,3,28,0.21875,4,31,0.2421875,4,26,0.203125,3,2,0.015625,1,1,0.0078125,1,2,0.015625,2,4,0.03125,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,126,63.5,60.522034554917816,0.007874015748031496,0.9921259842519685,0.5,0.984251968503937,3,0,3,0.07142857142857142,0.0,0.06976744186046512,65,69,67.0,1.4142135623730951,0.5118110236220472,0.5433070866141733,0.5275590551181102,0.031496062992125984,0,5,0,0.0,0.11627906976744186,0.0,0,127,63.0,50.23942674832188,0.0,1.0,0.49606299212598426,1.0,3,3,3,0.07142857142857142,0.06976744186046512,0.06976744186046512,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,6,121,63.379629629629626,34.69222284300549,0.047244094488188976,0.952755905511811,0.4990522018081073,0.905511811023622,36,35,37,0.8571428571428571,0.813953488372093,0.8604651162790697,0,127,64.15,47.30673842065209,0.0,1.0,0.5051181102362206,1.0,6,8,6,0.14285714285714285,0.18604651162790697,0.13953488372093023
594624351,250,128,122,0,0.0,0,0,6,0.046875,0,0.14285714285714285,0.18604651162790697,0.13953488372093023,0.5327868852459017,0.4672131147540984,0.47540983606557374,0.5245901639344263,0,4,4,0.8,12,1,0,5,0,55,6,25,0.20491803278688525,32,0.26229508196721313,33,0.27049180327868855,32,0.26229508196721313,32,0.26229508196721313,23,0.1796875,3,28,0.21875,4,31,0.2421875,4,26,0.203125,3,2,0.015625,1,4,0.03125,1,2,0.015625,2,6,0.046875,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,126,63.5,60.522034554917816,0.007874015748031496,0.9921259842519685,0.5,0.984251968503937,3,0,3,0.07142857142857142,0.0,0.06976744186046512,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,0,127,64.42857142857143,40.33558210406129,0.0,1.0,0.5073115860517435,1.0,3,8,3,0.07142857142857142,0.18604651162790697,0.06976744186046512,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,6,121,63.379629629629626,34.69222284300549,0.047244094488188976,0.952755905511811,0.4990522018081073,0.905511811023622,36,35,37,0.8571428571428571,0.813953488372093,0.8604651162790697,0,127,64.15,47.30673842065209,0.0,1.0,0.5051181102362206,1.0,6,8,6,0.14285714285714285,0.18604651162790697,0.13953488372093023
594624359,250,128,122,0,0.0,0,0,6,0.046875,0,0.14285714285714285,0.18604651162790697,0.13953488372093023,0.5327868852459017,0.4672131147540984,0.47540983606557374,0.5245901639344263,0,4,4,0.8,12,1,0,5,0,67,6,25,0.20491803278688525,32,0.26229508196721313,33,0.27049180327868855,32,0.26229508196721313,32,0.26229508196721313,22,0.171875,3,29,0.2265625,4,30,0.234375,4,27,0.2109375,3,3,0.0234375,1,3,0.0234375,2,3,0.0234375,1,5,0.0390625,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,126,63.5,60.522034554917816,0.007874015748031496,0.9921259842519685,0.5,0.984251968503937,3,0,3,0.07142857142857142,0.0,0.06976744186046512,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,0,127,71.14285714285714,40.86713164609907,0.0,1.0,0.5601799775028121,1.0,3,8,3,0.07142857142857142,0.18604651162790697,0.06976744186046512,-1,-1,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0,0,0,0.0,0.0,0.0,6,121,62.50925925925926,34.48953018009807,0.047244094488188976,0.952755905511811,0.492198891805191,0.905511811023622,36,35,37,0.8571428571428571,0.813953488372093,0.8604651162790697,0,127,68.85,47.75172771743448,0.0,1.0,0.5421259842519685,1.0,6,8,6,0.14285714285714285,0.18604651162790697,0.13953488372093023
