id,token_lT_count,longest_lA_run,longest_lC_run,token_lC_count,lna_last_fraction,longest_rU_run,rna_mean_fraction,rna_count_3p,repeated_dinucleotide_count,longest_homopolymer_run,methyl_mean_fraction,rna_mean_position,modified_token_mean_fraction,token_rU_count,mod_density_3p,longest_mG_run,modified_token_position_std,token_mC_count,slash_mod_density_middle,token_rU_fraction,methyl_position_std,rna_count_middle,base_U_count,mod_density_middle,methyl_mean_position,longest_rna_run,token_rA_count,rna_span_fraction,rna_first_position,token_rG_count,star_density_3p,slash_mod_count_3p,star_count_5p,token_rA_fraction,star_count_middle,modified_token_first_position,longest_mC_run,star_first_position,token_rG_fraction,slash_mod_position_std,longest_mU_run,base_C_fraction,methyl_count_5p,mod_density_5p,base_U_fraction,token_rC_fraction,purine_fraction,longest_rG_run,base_G_count,slash_mod_last_position,base_C_count,longest_gc_run,slash_mod_first_position,modified_token_mean_position,max_gc_window_10,lna_count_3p,slash_mod_count,decorated_length,longest_slash_mod_run,base_G_fraction,slash_mod_density_5p,terminal_gc_count,longest_rC_run,unknown_char_count,unknown_char_fraction,terminal_star_count,token_lU_count,token_lU_fraction,longest_lU_run,lna_count_5p,lna_density_5p
591206723,0,0,0,0,-1.0,4,0.3651392632524708,1,6,5,0.6520770010131711,38.339622641509436,0.6348607367475292,18,0.9722222222222222,2,32.29693799156795,9,0.0,0.16981132075471697,28.88336859577784,27,29,0.22857142857142856,68.46808510638297,28,14,0.6095238095238096,6,10,0.08333333333333333,0,3,0.1320754716981132,0,0,2,1,0.09433962264150944,0.0,2,0.2,7,0.2857142857142857,0.29,0.10377358490566038,0.51,2,24,-1,20,3,-1,66.66037735849056,0.7,0,0,206,0,0.24,0.0,1,3,0,0.0,0,0,0.0,0,0,0.0
588916194,0,0,0,0,-1.0,4,0.5,61,15,6,0.5,99.0,0.5,51,0.08955223880597014,1,96.51511107938832,1,0.0,0.2562814070351759,97.01374473066518,66,54,0.0,99.0,187,49,0.9393939393939394,6,45,0.04477611940298507,0,3,0.24623115577889448,0,0,1,1,0.22613065326633167,0.0,1,0.22279792746113988,3,0.09090909090909091,0.27979274611398963,0.21105527638190955,0.49740932642487046,3,46,-1,43,3,-1,99.0,0.8,0,0,392,0,0.23834196891191708,0.0,1,3,0,0.0,0,0,0.0,0,0,0.0
588916195,0,0,0,0,-1.0,4,0.5,57,15,6,0.5,93.0,0.5,47,0.09523809523809523,1,90.51611274611093,1,0.0,0.25133689839572193,91.01465083527303,62,50,0.0,93.0,175,46,0.9354838709677419,6,42,0.047619047619047616,0,3,0.24598930481283424,0,0,1,1,0.22459893048128343,0.0,1,0.2265193370165746,3,0.0967741935483871,0.27624309392265195,0.21390374331550802,0.4972375690607735,3,43,-1,41,3,-1,93.0,0.8,0,0,368,0,0.23756906077348067,0.0,1,3,0,0.0,0,0,0.0,0,0,0.0
593821265,0,0,0,0,-1.0,2,0.5,19,3,5,0.5,36.0,0.5,14,0.24,1,33.5435040904594,1,0.0,0.1917808219178082,34.03919309658598,24,17,0.0,36.0,61,21,0.8333333333333334,6,15,0.12,0,3,0.2876712328767123,0,0,1,1,0.2054794520547945,0.0,1,0.1791044776119403,3,0.25,0.2537313432835821,0.1506849315068493,0.5671641791044776,2,16,-1,12,2,-1,36.0,0.7,0,0,140,0,0.23880597014925373,0.0,0,2,0,0.0,0,0,0.0,0,0,0.0
594624328,0,0,0,0,-1.0,3,0.49875860112080583,37,12,4,0.5125268432355047,63.34234234234234,0.508105604446503,26,0.13953488372093023,0,51.30086302113058,4,0.0,0.203125,45.48017459280181,38,32,0.11627906976744186,65.0909090909091,59,24,0.905511811023622,6,33,0.06976744186046512,0,3,0.1875,0,0,1,1,0.2578125,0.0,1,0.26229508196721313,3,0.14285714285714285,0.26229508196721313,0.21875,0.47540983606557374,4,33,-1,32,4,-1,64.52941176470588,0.8,0,0,250,0,0.27049180327868855,0.0,0,4,0,0.0,0,0,0.0,0,0,0.0
594624327,0,0,0,0,-1.0,3,0.5003135669988155,37,12,4,0.49606299212598426,63.53982300884956,0.4976377952755906,28,0.13953488372093023,2,54.585956679961804,1,0.0,0.21875,50.23942674832188,40,32,0.06976744186046512,63.0,58,23,0.905511811023622,6,31,0.06976744186046512,0,3,0.1796875,0,0,1,1,0.2421875,0.0,1,0.26229508196721313,3,0.14285714285714285,0.26229508196721313,0.2421875,0.47540983606557374,4,33,-1,32,4,-1,63.2,0.8,0,0,250,0,0.27049180327868855,0.0,0,4,0,0.0,0,0,0.0,0,0,0.0
594624334,0,0,0,0,-1.0,3,0.4763779527559055,31,12,4,0.7165354330708661,60.5,0.6443569553805774,27,0.27906976744186046,0,56.17655699271321,5,0.0,0.2109375,51.479769489253414,43,32,0.0,91.0,110,23,0.8582677165354331,6,33,0.06976744186046512,0,3,0.1796875,0,0,4,1,0.2578125,0.0,1,0.26229508196721313,3,0.14285714285714285,0.26229508196721313,0.2109375,0.47540983606557374,4,33,-1,32,4,-1,81.83333333333333,0.8,0,0,250,0,0.27049180327868855,0.0,0,3,0,0.0,0,0,0.0,0,0,0.0
594624349,0,0,0,0,-1.0,3,0.4990522018081073,37,9,4,0.49606299212598426,63.379629629629626,0.5051181102362206,26,0.13953488372093023,2,47.30673842065209,1,0.11627906976744186,0.203125,50.23942674832188,35,30,0.18604651162790697,63.0,55,23,0.905511811023622,6,31,0.06976744186046512,0,3,0.1796875,0,0,1,1,0.2421875,1.4142135623730951,1,0.24786324786324787,3,0.14285714285714285,0.2564102564102564,0.21875,0.49572649572649574,4,33,69,29,4,65,64.15,0.8,0,5,270,5,0.28205128205128205,0.0,0,4,0,0.0,0,0,0.0,0,0,0.0
594624351,0,0,0,0,-1.0,3,0.4990522018081073,37,12,4,0.5073115860517435,63.379629629629626,0.5051181102362206,26,0.13953488372093023,2,47.30673842065209,4,0.0,0.203125,40.33558210406129,35,32,0.18604651162790697,64.42857142857143,55,23,0.905511811023622,6,31,0.06976744186046512,0,3,0.1796875,0,0,1,1,0.2421875,0.0,1,0.26229508196721313,3,0.14285714285714285,0.26229508196721313,0.21875,0.47540983606557374,4,33,-1,32,4,-1,64.15,0.8,0,0,250,0,0.27049180327868855,0.0,0,4,0,0.0,0,0,0.0,0,0,0.0
594624359,0,0,0,0,-1.0,3,0.492198891805191,37,12,4,0.5601799775028121,62.50925925925926,0.5421259842519685,27,0.13953488372093023,1,47.75172771743448,3,0.0,0.2109375,40.86713164609907,35,32,0.18604651162790697,71.14285714285714,67,22,0.905511811023622,6,30,0.06976744186046512,0,3,0.171875,0,0,2,1,0.234375,0.0,1,0.26229508196721313,3,0.14285714285714285,0.26229508196721313,0.2265625,0.47540983606557374,4,33,-1,32,4,-1,68.85,0.8,0,0,250,0,0.27049180327868855,0.0,0,4,0,0.0,0,0,0.0,0,0,0.0
